scenario,lsa,detector_id_sumo,detector_id_real,begin_s,end_s,nVehEntered,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed
weekend_morning,LSA1,LSA1_N_id30,30,1800.0,2700.0,44.0,44.0,176.0,42.69,7.74,0.58
weekend_morning,LSA1,LSA1_N_id39,39,1800.0,2700.0,44.0,44.0,176.0,2.03,12.48,12.24
weekend_morning,LSA1,LSA1_N_id40,40,1800.0,2700.0,34.0,34.0,136.0,22.73,7.1,0.75
weekend_morning,LSA1,LSA1_S_id11,11,1800.0,2700.0,0.0,0.0,0.0,0.0,-1.0,-1.0
weekend_morning,LSA1,LSA1_S_id12,12,1800.0,2700.0,0.0,0.0,0.0,0.0,-1.0,-1.0
weekend_morning,LSA1,LSA1_W_id10,10,1800.0,2700.0,70.0,70.0,280.0,22.11,8.38,1.53
weekend_morning,LSA1,LSA1_W_id7,7,1800.0,2700.0,24.0,24.0,96.0,96.15,3.09,0.13
weekend_morning,LSA1,LSA1_W_id8,8,1800.0,2700.0,20.0,21.0,84.0,87.97,2.58,0.13
weekend_morning,LSA1,LSA1_W_id9,9,1800.0,2700.0,70.0,69.0,276.0,32.0,8.53,1.1
weekend_morning,LSA9,LSA9_E_id8,8,1800.0,2700.0,66.0,63.0,252.0,6.19,11.35,5.85
weekend_morning,LSA9,LSA9_E_id9,9,1800.0,2700.0,29.0,29.0,116.0,3.88,12.2,3.86
weekend_morning,LSA9,LSA9_S_id10,10,1800.0,2700.0,1.0,0.0,0.0,33.66,-1.0,-1.0
weekend_morning,LSA9,LSA9_WE_id4,4,1800.0,2700.0,7.0,8.0,32.0,23.17,3.34,0.19
weekend_morning,LSA9,LSA9_WE_id5,5,1800.0,2700.0,19.0,18.0,72.0,22.06,5.63,0.44
weekend_morning,LSA9,LSA9_WE_id6,6,1800.0,2700.0,5.0,5.0,20.0,0.27,10.35,9.93
weekend_morning,LSA9,LSA9_WE_id7,7,1800.0,2700.0,18.0,18.0,72.0,4.05,10.33,2.7
weekend_morning,LSA9,LSA9_W_id1,1,1800.0,2700.0,45.0,45.0,180.0,8.47,9.97,3.73
weekend_morning,LSA9,LSA9_W_id2,2,1800.0,2700.0,64.0,62.0,248.0,31.88,8.96,1.37
weekend_morning,LSA10,LSA10_E_id3,3,2700.0,3600.0,51.0,51.0,204.0,5.49,11.16,5.09
weekend_morning,LSA10,LSA10_E_id4,4,2700.0,3600.0,24.0,22.0,88.0,1.15,12.33,12.05
weekend_morning,LSA10,LSA10_NE_id29,29,2700.0,3600.0,5.0,5.0,20.0,0.42,7.63,6.47
weekend_morning,LSA10,LSA10_NW_id2,2,2700.0,3600.0,11.0,11.0,44.0,0.43,13.62,13.56
weekend_morning,LSA10,LSA10_NW_id26,26,2700.0,3600.0,2.0,2.0,8.0,0.09,11.72,11.61
weekend_morning,LSA10,LSA10_NW_id27,27,2700.0,3600.0,9.0,9.0,36.0,7.05,5.21,0.78
weekend_morning,LSA10,LSA10_S_id31,31,2700.0,3600.0,14.0,14.0,56.0,14.83,4.32,0.47
weekend_morning,LSA10,LSA10_W_id1,1,2700.0,3600.0,72.0,73.0,292.0,12.27,11.12,3.07
weekend_morning,LSA16,LSA16_E_id10,10,2700.0,3600.0,39.0,39.0,156.0,2.15,11.58,10.36
weekend_morning,LSA16,LSA16_E_id11,11,2700.0,3600.0,16.0,16.0,64.0,2.15,9.54,3.94
