block_id,start_time,end_time,date,K1,K2,K3,K4,K5,K6,pattern,stage,program,n_seconds,duration_s
58,2026-03-10 08:06:13+01:00,2026-03-10 08:06:40+01:00,2026-03-10,2,4,2,2,4,2,2-4-2-2-4-2,5,3,28,28
59,2026-03-10 08:06:41+01:00,2026-03-10 08:06:43+01:00,2026-03-10,2,3,2,2,3,2,2-3-2-2-3-2,4,3,3,3
60,2026-03-10 08:06:44+01:00,2026-03-10 08:06:46+01:00,2026-03-10,2,2,2,2,2,2,2-2-2-2-2-2,4,3,3,3
61,2026-03-10 08:06:47+01:00,2026-03-10 08:06:47+01:00,2026-03-10,2,2,5,5,2,2,2-2-5-5-2-2,4,3,1,1
62,2026-03-10 08:06:48+01:00,2026-03-10 08:06:52+01:00,2026-03-10,2,2,4,4,2,2,2-2-4-4-2-2,6,3,5,5
63,2026-03-10 08:06:53+01:00,2026-03-10 08:06:55+01:00,2026-03-10,2,2,4,3,2,2,2-2-4-3-2-2,6,3,3,3
64,2026-03-10 08:06:56+01:00,2026-03-10 08:06:58+01:00,2026-03-10,2,2,4,2,2,2,2-2-4-2-2-2,6,3,3,3
65,2026-03-10 08:06:59+01:00,2026-03-10 08:06:59+01:00,2026-03-10,5,2,4,2,2,2,5-2-4-2-2-2,6,3,1,1
66,2026-03-10 08:07:00+01:00,2026-03-10 08:07:20+01:00,2026-03-10,4,2,4,2,2,2,4-2-4-2-2-2,1,3,21,21
67,2026-03-10 08:07:21+01:00,2026-03-10 08:07:23+01:00,2026-03-10,4,2,3,2,2,2,4-2-3-2-2-2,2,3,3,3
68,2026-03-10 08:07:24+01:00,2026-03-10 08:07:24+01:00,2026-03-10,4,2,2,2,2,5,4-2-2-2-2-5,2,3,1,1
69,2026-03-10 08:07:25+01:00,2026-03-10 08:07:32+01:00,2026-03-10,4,2,2,2,2,4,4-2-2-2-2-4,5,3,8,8
70,2026-03-10 08:07:33+01:00,2026-03-10 08:07:35+01:00,2026-03-10,3,2,2,2,2,4,3-2-2-2-2-4,5,3,3,3
71,2026-03-10 08:07:36+01:00,2026-03-10 08:07:38+01:00,2026-03-10,2,2,2,2,2,3,2-2-2-2-2-3,5,3,3,3
72,2026-03-10 08:07:39+01:00,2026-03-10 08:07:39+01:00,2026-03-10,2,5,2,2,5,2,2-5-2-2-5-2,5,3,1,1
73,2026-03-10 08:07:40+01:00,2026-03-10 08:07:59+01:00,2026-03-10,2,4,2,2,4,2,2-4-2-2-4-2,5,3,20,20
74,2026-03-10 08:08:00+01:00,2026-03-10 08:08:02+01:00,2026-03-10,2,3,2,2,3,2,2-3-2-2-3-2,4,3,3,3
75,2026-03-10 08:08:03+01:00,2026-03-10 08:08:05+01:00,2026-03-10,2,2,2,2,2,2,2-2-2-2-2-2,4,3,3,3
76,2026-03-10 08:08:06+01:00,2026-03-10 08:08:06+01:00,2026-03-10,2,2,5,5,2,2,2-2-5-5-2-2,4,3,1,1
77,2026-03-10 08:08:07+01:00,2026-03-10 08:08:21+01:00,2026-03-10,2,2,4,4,2,2,2-2-4-4-2-2,6,3,15,15
78,2026-03-10 08:08:22+01:00,2026-03-10 08:08:24+01:00,2026-03-10,2,2,4,3,2,2,2-2-4-3-2-2,6,3,3,3
79,2026-03-10 08:08:25+01:00,2026-03-10 08:08:27+01:00,2026-03-10,2,2,4,2,2,2,2-2-4-2-2-2,6,3,3,3
80,2026-03-10 08:08:28+01:00,2026-03-10 08:08:28+01:00,2026-03-10,5,2,4,2,2,2,5-2-4-2-2-2,6,3,1,1
81,2026-03-10 08:08:29+01:00,2026-03-10 08:08:50+01:00,2026-03-10,4,2,4,2,2,2,4-2-4-2-2-2,1,3,22,22
82,2026-03-10 08:08:51+01:00,2026-03-10 08:08:53+01:00,2026-03-10,4,2,3,2,2,2,4-2-3-2-2-2,2,3,3,3
