scenario_name,scenario_date,interval_role,intersection,date,begin_s,end_s,sim_begin_s,sim_end_s,detector_id,sumo_id,approach,edge_id,count_type,from_edge,to_edge,movement,count,mean_occupancy,mean_speed
weekday_evening,2026-03-23,analysis,LD-LSA10,2026-03-23,58500,59400,1800,2700,2,LSA10_NW_id2,North-West,,,,,,37,43.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA10,2026-03-23,58500,59400,1800,2700,3,LSA10_E_id3,East,,,,,,70,70.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA10,2026-03-23,58500,59400,1800,2700,4,LSA10_E_id4,East,,,,,,64,30.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA10,2026-03-23,58500,59400,1800,2700,26,LSA10_NW_id26,North-West,,,,,,5,44.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA10,2026-03-23,58500,59400,1800,2700,27,LSA10_NW_id27,North-West,,,,,,21,71.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA10,2026-03-23,58500,59400,1800,2700,29,LSA10_NE_id29,North-East,,,,,,4,6.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA10,2026-03-23,58500,59400,1800,2700,31,LSA10_S_id31,South,,,,,,22,53.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA16,2026-03-23,58500,59400,1800,2700,1,LSA16_S_id1,South,,,,,,47,35.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA16,2026-03-23,58500,59400,1800,2700,2,LSA16_S_id2,South,,,,,,24,21.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA16,2026-03-23,58500,59400,1800,2700,3,LSA16_W_id3,West,,,,,,50,70.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA16,2026-03-23,58500,59400,1800,2700,4,LSA16_W_id4,West,,,,,,11,49.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA16,2026-03-23,58500,59400,1800,2700,5,LSA16_W_id5,West,,,,,,36,58.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA16,2026-03-23,58500,59400,1800,2700,6,LSA16_N_id6,North,,,,,,19,7.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA16,2026-03-23,58500,59400,1800,2700,7,LSA16_N_id7,North,,,,,,35,54.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA16,2026-03-23,58500,59400,1800,2700,10,LSA16_E_id10,East,,,,,,107,43.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA16,2026-03-23,58500,59400,1800,2700,11,LSA16_E_id11,East,,,,,,66,21.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA16,2026-03-23,58500,59400,1800,2700,13,LSA16_Eout_id13,East-Exit,,,,,,107,24.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA16,2026-03-23,58500,59400,1800,2700,15,LSA16_Wout_id15,West-Exit,,,,,,167,19.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA16,2026-03-23,58500,59400,1800,2700,33,LSA16_S_id33,South,,,,,,22,33.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA9,2026-03-23,58500,59400,1800,2700,1,LSA9_W_id1,West,,,,,,56,81.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA9,2026-03-23,58500,59400,1800,2700,2,LSA9_W_id2,West,,,,,,69,76.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA9,2026-03-23,58500,59400,1800,2700,3,,North-East,,,,,,2,0.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA9,2026-03-23,58500,59400,1800,2700,4,LSA9_WE_id4,North-West,,,,,,27,65.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA9,2026-03-23,58500,59400,1800,2700,5,LSA9_WE_id5,North-West,,,,,,14,57.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA9,2026-03-23,58500,59400,1800,2700,6,LSA9_WE_id6,North-West,,,,,,25,54.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA9,2026-03-23,58500,59400,1800,2700,7,LSA9_WE_id7,North-West,,,,,,38,36.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA9,2026-03-23,58500,59400,1800,2700,8,LSA9_E_id8,East,,,,,,68,80.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA9,2026-03-23,58500,59400,1800,2700,9,LSA9_E_id9,East,,,,,,68,48.0,0.0
