scenario_name,scenario_date,interval_role,warmup_seconds,scenario_start_s,scenario_end_s,analysis_start_s,analysis_end_s,intersection,date,timestamp_utc,timestamp_local,time,begin_s,end_s,sim_begin_s,sim_end_s,bin_label_clock,bin_label_sim,detector_id,sumo_id,approach,edge_id,movement,count_type,from_edge,to_edge,count,occupancy,speed
weekend_evening,2026-03-22,warmup,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 15:45:00+00:00,15:45:00,56700,57600,0,900,15:45-16:00,0-900,27,LSA10_NW_id27,North-West,,,,,,11,43,0
weekend_evening,2026-03-22,warmup,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 15:45:00+00:00,15:45:00,56700,57600,0,900,15:45-16:00,0-900,29,LSA10_NE_id29,North-East,,,,,,4,4,0
weekend_evening,2026-03-22,warmup,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 15:45:00+00:00,15:45:00,56700,57600,0,900,15:45-16:00,0-900,31,LSA10_S_id31,South,,,,,,12,19,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 16:00:00+00:00,16:00:00,57600,58500,900,1800,16:00-16:15,900-1800,1,LSA10_W_id1,West,,,,,,71,37,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 16:00:00+00:00,16:00:00,57600,58500,900,1800,16:00-16:15,900-1800,2,LSA10_NW_id2,North-West,,,,,,28,12,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 16:00:00+00:00,16:00:00,57600,58500,900,1800,16:00-16:15,900-1800,3,LSA10_E_id3,East,,,,,,63,16,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 16:00:00+00:00,16:00:00,57600,58500,900,1800,16:00-16:15,900-1800,4,LSA10_E_id4,East,,,,,,30,7,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 16:00:00+00:00,16:00:00,57600,58500,900,1800,16:00-16:15,900-1800,26,LSA10_NW_id26,North-West,,,,,,7,24,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 16:00:00+00:00,16:00:00,57600,58500,900,1800,16:00-16:15,900-1800,27,LSA10_NW_id27,North-West,,,,,,14,43,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 16:00:00+00:00,16:00:00,57600,58500,900,1800,16:00-16:15,900-1800,29,LSA10_NE_id29,North-East,,,,,,3,5,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 16:00:00+00:00,16:00:00,57600,58500,900,1800,16:00-16:15,900-1800,31,LSA10_S_id31,South,,,,,,13,30,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 16:15:00+00:00,16:15:00,58500,59400,1800,2700,16:15-16:30,1800-2700,1,LSA10_W_id1,West,,,,,,101,40,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 16:15:00+00:00,16:15:00,58500,59400,1800,2700,16:15-16:30,1800-2700,2,LSA10_NW_id2,North-West,,,,,,25,12,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 16:15:00+00:00,16:15:00,58500,59400,1800,2700,16:15-16:30,1800-2700,3,LSA10_E_id3,East,,,,,,71,20,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 16:15:00+00:00,16:15:00,58500,59400,1800,2700,16:15-16:30,1800-2700,4,LSA10_E_id4,East,,,,,,32,6,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 16:15:00+00:00,16:15:00,58500,59400,1800,2700,16:15-16:30,1800-2700,26,LSA10_NW_id26,North-West,,,,,,5,7,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 16:15:00+00:00,16:15:00,58500,59400,1800,2700,16:15-16:30,1800-2700,27,LSA10_NW_id27,North-West,,,,,,13,67,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 16:15:00+00:00,16:15:00,58500,59400,1800,2700,16:15-16:30,1800-2700,29,LSA10_NE_id29,North-East,,,,,,7,3,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 16:15:00+00:00,16:15:00,58500,59400,1800,2700,16:15-16:30,1800-2700,31,LSA10_S_id31,South,,,,,,14,28,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 16:30:00+00:00,16:30:00,59400,60300,2700,3600,16:30-16:45,2700-3600,1,LSA10_W_id1,West,,,,,,61,50,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 16:30:00+00:00,16:30:00,59400,60300,2700,3600,16:30-16:45,2700-3600,2,LSA10_NW_id2,North-West,,,,,,38,33,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 16:30:00+00:00,16:30:00,59400,60300,2700,3600,16:30-16:45,2700-3600,3,LSA10_E_id3,East,,,,,,63,20,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 16:30:00+00:00,16:30:00,59400,60300,2700,3600,16:30-16:45,2700-3600,4,LSA10_E_id4,East,,,,,,32,8,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 16:30:00+00:00,16:30:00,59400,60300,2700,3600,16:30-16:45,2700-3600,26,LSA10_NW_id26,North-West,,,,,,11,38,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 16:30:00+00:00,16:30:00,59400,60300,2700,3600,16:30-16:45,2700-3600,27,LSA10_NW_id27,North-West,,,,,,15,62,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 16:30:00+00:00,16:30:00,59400,60300,2700,3600,16:30-16:45,2700-3600,29,LSA10_NE_id29,North-East,,,,,,10,1,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 16:30:00+00:00,16:30:00,59400,60300,2700,3600,16:30-16:45,2700-3600,31,LSA10_S_id31,South,,,,,,19,27,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 16:45:00+00:00,16:45:00,60300,61200,3600,4500,16:45-17:00,3600-4500,1,LSA10_W_id1,West,,,,,,87,44,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 16:45:00+00:00,16:45:00,60300,61200,3600,4500,16:45-17:00,3600-4500,2,LSA10_NW_id2,North-West,,,,,,37,29,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 16:45:00+00:00,16:45:00,60300,61200,3600,4500,16:45-17:00,3600-4500,3,LSA10_E_id3,East,,,,,,65,36,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 16:45:00+00:00,16:45:00,60300,61200,3600,4500,16:45-17:00,3600-4500,4,LSA10_E_id4,East,,,,,,35,8,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 16:45:00+00:00,16:45:00,60300,61200,3600,4500,16:45-17:00,3600-4500,26,LSA10_NW_id26,North-West,,,,,,7,26,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 16:45:00+00:00,16:45:00,60300,61200,3600,4500,16:45-17:00,3600-4500,27,LSA10_NW_id27,North-West,,,,,,15,66,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 16:45:00+00:00,16:45:00,60300,61200,3600,4500,16:45-17:00,3600-4500,29,LSA10_NE_id29,North-East,,,,,,4,5,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA10,2026-03-22,,2026-03-22 16:45:00+00:00,16:45:00,60300,61200,3600,4500,16:45-17:00,3600-4500,31,LSA10_S_id31,South,,,,,,12,24,0
weekend_evening,2026-03-22,warmup,900,56700,61200,57600,61200,LD-LSA16,2026-03-22,,2026-03-22 15:45:00+00:00,15:45:00,56700,57600,0,900,15:45-16:00,0-900,1,LSA16_S_id1,South,,,,,,28,5,0
weekend_evening,2026-03-22,warmup,900,56700,61200,57600,61200,LD-LSA16,2026-03-22,,2026-03-22 15:45:00+00:00,15:45:00,56700,57600,0,900,15:45-16:00,0-900,2,LSA16_S_id2,South,,,,,,18,9,0
weekend_evening,2026-03-22,warmup,900,56700,61200,57600,61200,LD-LSA16,2026-03-22,,2026-03-22 15:45:00+00:00,15:45:00,56700,57600,0,900,15:45-16:00,0-900,3,LSA16_W_id3,West,,,,,,51,42,0
weekend_evening,2026-03-22,warmup,900,56700,61200,57600,61200,LD-LSA16,2026-03-22,,2026-03-22 15:45:00+00:00,15:45:00,56700,57600,0,900,15:45-16:00,0-900,4,LSA16_W_id4,West,,,,,,9,26,0
weekend_evening,2026-03-22,warmup,900,56700,61200,57600,61200,LD-LSA16,2026-03-22,,2026-03-22 15:45:00+00:00,15:45:00,56700,57600,0,900,15:45-16:00,0-900,5,LSA16_W_id5,West,,,,,,44,36,0
weekend_evening,2026-03-22,warmup,900,56700,61200,57600,61200,LD-LSA16,2026-03-22,,2026-03-22 15:45:00+00:00,15:45:00,56700,57600,0,900,15:45-16:00,0-900,6,LSA16_N_id6,North,,,,,,12,2,0
weekend_evening,2026-03-22,warmup,900,56700,61200,57600,61200,LD-LSA16,2026-03-22,,2026-03-22 15:45:00+00:00,15:45:00,56700,57600,0,900,15:45-16:00,0-900,7,LSA16_N_id7,North,,,,,,25,25,0
weekend_evening,2026-03-22,warmup,900,56700,61200,57600,61200,LD-LSA16,2026-03-22,,2026-03-22 15:45:00+00:00,15:45:00,56700,57600,0,900,15:45-16:00,0-900,10,LSA16_E_id10,East,,,,,,59,14,0
weekend_evening,2026-03-22,warmup,900,56700,61200,57600,61200,LD-LSA16,2026-03-22,,2026-03-22 15:45:00+00:00,15:45:00,56700,57600,0,900,15:45-16:00,0-900,11,LSA16_E_id11,East,,,,,,32,12,0
weekend_evening,2026-03-22,warmup,900,56700,61200,57600,61200,LD-LSA16,2026-03-22,,2026-03-22 15:45:00+00:00,15:45:00,56700,57600,0,900,15:45-16:00,0-900,13,LSA16_Eout_id13,East-Exit,,,,,,79,9,0
weekend_evening,2026-03-22,warmup,900,56700,61200,57600,61200,LD-LSA16,2026-03-22,,2026-03-22 15:45:00+00:00,15:45:00,56700,57600,0,900,15:45-16:00,0-900,15,LSA16_Wout_id15,West-Exit,,,,,,64,13,0
weekend_evening,2026-03-22,warmup,900,56700,61200,57600,61200,LD-LSA16,2026-03-22,,2026-03-22 15:45:00+00:00,15:45:00,56700,57600,0,900,15:45-16:00,0-900,33,LSA16_S_id33,South,,,,,,24,8,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA16,2026-03-22,,2026-03-22 16:00:00+00:00,16:00:00,57600,58500,900,1800,16:00-16:15,900-1800,1,LSA16_S_id1,South,,,,,,38,19,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA16,2026-03-22,,2026-03-22 16:00:00+00:00,16:00:00,57600,58500,900,1800,16:00-16:15,900-1800,2,LSA16_S_id2,South,,,,,,28,14,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA16,2026-03-22,,2026-03-22 16:00:00+00:00,16:00:00,57600,58500,900,1800,16:00-16:15,900-1800,3,LSA16_W_id3,West,,,,,,58,58,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA16,2026-03-22,,2026-03-22 16:00:00+00:00,16:00:00,57600,58500,900,1800,16:00-16:15,900-1800,4,LSA16_W_id4,West,,,,,,9,13,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA16,2026-03-22,,2026-03-22 16:00:00+00:00,16:00:00,57600,58500,900,1800,16:00-16:15,900-1800,5,LSA16_W_id5,West,,,,,,53,54,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA16,2026-03-22,,2026-03-22 16:00:00+00:00,16:00:00,57600,58500,900,1800,16:00-16:15,900-1800,6,LSA16_N_id6,North,,,,,,17,4,0
weekend_evening,2026-03-22,analysis,900,56700,61200,57600,61200,LD-LSA16,2026-03-22,,2026-03-22 16:00:00+00:00,16:00:00,57600,58500,900,1800,16:00-16:15,900-1800,7,LSA16_N_id7,North,,,,,,36,42,0
