scenario,lsa,detector_id_sumo,detector_id_real,begin_s,end_s,nVehEntered,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed
weekday_evening,LSA1,LSA1_E_id24,24,900.0,1800.0,83.0,82.0,328.0,23.02,8.37,2.01
weekday_evening,LSA1,LSA1_E_id25,25,900.0,1800.0,39.0,38.0,152.0,75.09,4.66,0.29
weekday_evening,LSA1,LSA1_E_id26,26,900.0,1800.0,40.0,41.0,164.0,15.25,7.32,1.35
weekday_evening,LSA1,LSA1_E_id27,27,900.0,1800.0,68.0,68.0,272.0,10.36,9.34,3.39
weekday_evening,LSA1,LSA1_N_id28,28,900.0,1800.0,16.0,17.0,68.0,32.31,4.77,0.32
weekday_evening,LSA1,LSA1_N_id30,30,900.0,1800.0,84.0,85.0,340.0,75.96,8.08,0.57
weekday_evening,LSA1,LSA1_N_id39,39,900.0,1800.0,85.0,85.0,340.0,25.97,8.3,1.69
weekday_evening,LSA1,LSA1_N_id40,40,900.0,1800.0,49.0,49.0,196.0,31.11,8.18,0.82
weekday_evening,LSA1,LSA1_S_id11,11,900.0,1800.0,0.0,0.0,0.0,0.0,-1.0,-1.0
weekday_evening,LSA1,LSA1_S_id12,12,900.0,1800.0,0.0,0.0,0.0,0.0,-1.0,-1.0
weekday_evening,LSA1,LSA1_W_id10,10,900.0,1800.0,79.0,79.0,316.0,26.85,8.4,1.56
weekday_evening,LSA1,LSA1_W_id7,7,900.0,1800.0,49.0,48.0,192.0,71.72,6.87,0.37
weekday_evening,LSA1,LSA1_W_id8,8,900.0,1800.0,49.0,50.0,200.0,41.24,6.28,0.69
weekday_evening,LSA1,LSA1_W_id9,9,900.0,1800.0,79.0,79.0,316.0,41.78,8.11,0.91
weekday_evening,LSA9,LSA9_E_id8,8,900.0,1800.0,80.0,76.0,304.0,13.42,9.19,4.43
weekday_evening,LSA9,LSA9_E_id9,9,900.0,1800.0,56.0,55.0,220.0,22.45,8.61,1.27
weekday_evening,LSA9,LSA9_S_id10,10,900.0,1800.0,11.0,11.0,44.0,25.65,3.39,0.21
weekday_evening,LSA9,LSA9_WE_id4,4,900.0,1800.0,17.0,18.0,72.0,40.73,3.51,0.22
weekday_evening,LSA9,LSA9_WE_id5,5,900.0,1800.0,16.0,14.0,56.0,30.93,2.34,0.24
weekday_evening,LSA9,LSA9_WE_id6,6,900.0,1800.0,13.0,13.0,52.0,0.77,11.84,10.86
weekday_evening,LSA9,LSA9_WE_id7,7,900.0,1800.0,17.0,17.0,68.0,0.89,10.44,9.85
weekday_evening,LSA9,LSA9_W_id1,1,900.0,1800.0,90.0,89.0,356.0,54.8,9.72,1.21
weekday_evening,LSA9,LSA9_W_id2,2,900.0,1800.0,22.0,21.0,84.0,93.85,2.94,0.12
weekday_evening,LSA10,LSA10_E_id3,3,1800.0,2700.0,60.0,60.0,240.0,9.29,10.8,3.3
weekday_evening,LSA10,LSA10_E_id4,4,1800.0,2700.0,59.0,59.0,236.0,11.86,11.11,2.5
weekday_evening,LSA10,LSA10_NE_id29,29,1800.0,2700.0,12.0,12.0,48.0,2.68,4.88,2.47
weekday_evening,LSA10,LSA10_NW_id2,2,1800.0,2700.0,28.0,28.0,112.0,1.47,12.26,11.53
weekday_evening,LSA10,LSA10_NW_id26,26,1800.0,2700.0,12.0,12.0,48.0,4.44,4.3,1.59
weekday_evening,LSA10,LSA10_NW_id27,27,1800.0,2700.0,17.0,18.0,72.0,18.47,4.43,0.51
weekday_evening,LSA10,LSA10_S_id31,31,1800.0,2700.0,18.0,18.0,72.0,25.32,4.01,0.36
weekday_evening,LSA10,LSA10_W_id1,1,1800.0,2700.0,96.0,96.0,384.0,20.67,10.18,2.92
weekday_evening,LSA16,LSA16_E_id10,10,1800.0,2700.0,80.0,81.0,324.0,9.95,10.33,3.6
weekday_evening,LSA16,LSA16_E_id11,11,1800.0,2700.0,55.0,56.0,224.0,20.07,8.02,1.3
weekday_evening,LSA16,LSA16_E_id14,14,1800.0,2700.0,58.0,57.0,228.0,2.27,12.95,12.89
weekday_evening,LSA16,LSA16_Eout_id13,13,1800.0,2700.0,96.0,96.0,384.0,9.71,11.26,5.21
weekday_evening,LSA16,LSA16_N_id6,6,1800.0,2700.0,32.0,32.0,128.0,9.61,9.36,1.95
weekday_evening,LSA16,LSA16_N_id7,7,1800.0,2700.0,20.0,20.0,80.0,0.88,13.26,13.19
weekday_evening,LSA16,LSA16_S_id1,1,1800.0,2700.0,43.0,43.0,172.0,32.12,7.6,0.7
weekday_evening,LSA16,LSA16_S_id2,2,1800.0,2700.0,25.0,25.0,100.0,1.06,12.83,12.62
weekday_evening,LSA16,LSA16_S_id33,33,1800.0,2700.0,18.0,18.0,72.0,0.91,12.05,11.42
weekday_evening,LSA16,LSA16_W_id3,3,1800.0,2700.0,54.0,55.0,220.0,53.21,7.26,0.52
weekday_evening,LSA16,LSA16_W_id4,4,1800.0,2700.0,10.0,10.0,40.0,9.9,7.21,0.51
weekday_evening,LSA16,LSA16_W_id5,5,1800.0,2700.0,52.0,52.0,208.0,8.92,9.21,3.01
weekday_evening,LSA16,LSA16_Wout_id15,15,1800.0,2700.0,107.0,107.0,428.0,4.52,13.29,13.24
weekday_evening,LSA1,LSA1_E_id13,13,1800.0,2700.0,53.0,51.0,204.0,41.99,8.0,0.65
weekday_evening,LSA1,LSA1_E_id14,14,1800.0,2700.0,132.0,130.0,520.0,16.52,9.45,4.17
weekday_evening,LSA1,LSA1_E_id23,23,1800.0,2700.0,90.0,90.0,360.0,45.6,8.38,1.02
weekday_evening,LSA1,LSA1_E_id24,24,1800.0,2700.0,83.0,82.0,328.0,14.09,8.57,3.24
weekday_evening,LSA1,LSA1_E_id25,25,1800.0,2700.0,40.0,41.0,164.0,68.9,4.8,0.27
weekday_evening,LSA1,LSA1_E_id26,26,1800.0,2700.0,37.0,37.0,148.0,12.32,6.92,1.51
weekday_evening,LSA1,LSA1_E_id27,27,1800.0,2700.0,71.0,71.0,284.0,10.51,9.62,3.64
weekday_evening,LSA1,LSA1_N_id28,28,1800.0,2700.0,11.0,11.0,44.0,24.8,5.07,0.23
weekday_evening,LSA1,LSA1_N_id30,30,1800.0,2700.0,81.0,80.0,320.0,77.23,7.84,0.59
weekday_evening,LSA1,LSA1_N_id39,39,1800.0,2700.0,84.0,83.0,332.0,43.95,7.59,1.27
weekday_evening,LSA1,LSA1_N_id40,40,1800.0,2700.0,45.0,44.0,176.0,34.53,8.44,0.65
weekday_evening,LSA1,LSA1_S_id11,11,1800.0,2700.0,0.0,0.0,0.0,0.0,-1.0,-1.0
weekday_evening,LSA1,LSA1_S_id12,12,1800.0,2700.0,0.0,0.0,0.0,0.0,-1.0,-1.0
weekday_evening,LSA1,LSA1_W_id10,10,1800.0,2700.0,66.0,66.0,264.0,17.99,8.41,1.89
weekday_evening,LSA1,LSA1_W_id7,7,1800.0,2700.0,31.0,32.0,128.0,43.77,6.13,0.33
weekday_evening,LSA1,LSA1_W_id8,8,1800.0,2700.0,30.0,30.0,120.0,26.01,6.28,0.59
weekday_evening,LSA1,LSA1_W_id9,9,1800.0,2700.0,67.0,68.0,272.0,34.41,8.12,1.05
weekday_evening,LSA9,LSA9_E_id8,8,1800.0,2700.0,79.0,75.0,300.0,11.1,9.14,3.56
weekday_evening,LSA9,LSA9_E_id9,9,1800.0,2700.0,47.0,48.0,192.0,11.89,8.77,1.97
weekday_evening,LSA9,LSA9_S_id10,10,1800.0,2700.0,11.0,12.0,48.0,29.81,2.68,0.22
weekday_evening,LSA9,LSA9_WE_id4,4,1800.0,2700.0,20.0,20.0,80.0,48.66,3.07,0.21
weekday_evening,LSA9,LSA9_WE_id5,5,1800.0,2700.0,23.0,21.0,84.0,54.76,4.26,0.2
weekday_evening,LSA9,LSA9_WE_id6,6,1800.0,2700.0,19.0,18.0,72.0,5.75,7.97,1.96
weekday_evening,LSA9,LSA9_WE_id7,7,1800.0,2700.0,25.0,24.0,96.0,3.3,9.69,8.24
weekday_evening,LSA9,LSA9_W_id1,1,1800.0,2700.0,78.0,79.0,316.0,57.42,8.26,0.58
weekday_evening,LSA9,LSA9_W_id2,2,1800.0,2700.0,25.0,25.0,100.0,95.51,3.74,0.14
weekday_evening,LSA10,LSA10_E_id3,3,2700.0,3600.0,60.0,60.0,240.0,15.19,9.67,2.04
weekday_evening,LSA10,LSA10_E_id4,4,2700.0,3600.0,56.0,56.0,224.0,5.68,9.6,5.1
weekday_evening,LSA10,LSA10_NE_id29,29,2700.0,3600.0,4.0,4.0,16.0,0.5,4.72,4.65
weekday_evening,LSA10,LSA10_NW_id2,2,2700.0,3600.0,32.0,32.0,128.0,11.18,11.73,1.44
weekday_evening,LSA10,LSA10_NW_id26,26,2700.0,3600.0,9.0,9.0,36.0,6.26,5.58,1.4
weekday_evening,LSA10,LSA10_NW_id27,27,2700.0,3600.0,22.0,22.0,88.0,41.6,5.47,0.27
weekday_evening,LSA10,LSA10_S_id31,31,2700.0,3600.0,24.0,23.0,92.0,29.39,4.21,0.47
weekday_evening,LSA10,LSA10_W_id1,1,2700.0,3600.0,88.0,87.0,348.0,74.05,6.58,0.69
weekday_evening,LSA16,LSA16_E_id10,10,2700.0,3600.0,93.0,93.0,372.0,4.77,11.75,10.81
weekday_evening,LSA16,LSA16_E_id11,11,2700.0,3600.0,54.0,54.0,216.0,25.41,9.36,1.07
weekday_evening,LSA16,LSA16_E_id14,14,2700.0,3600.0,51.0,52.0,208.0,2.16,13.09,13.04
weekday_evening,LSA16,LSA16_Eout_id13,13,2700.0,3600.0,91.0,90.0,360.0,56.91,7.11,1.05
weekday_evening,LSA16,LSA16_N_id6,6,2700.0,3600.0,34.0,34.0,136.0,18.91,8.56,1.3
weekday_evening,LSA16,LSA16_N_id7,7,2700.0,3600.0,30.0,30.0,120.0,1.85,11.43,9.04
weekday_evening,LSA16,LSA16_S_id1,1,2700.0,3600.0,37.0,36.0,144.0,69.7,6.34,0.26
weekday_evening,LSA16,LSA16_S_id2,2,2700.0,3600.0,24.0,24.0,96.0,0.98,12.99,12.77
weekday_evening,LSA16,LSA16_S_id33,33,2700.0,3600.0,15.0,15.0,60.0,0.84,12.16,11.53
weekday_evening,LSA16,LSA16_W_id3,3,2700.0,3600.0,65.0,64.0,256.0,72.56,8.02,0.48
weekday_evening,LSA16,LSA16_W_id4,4,2700.0,3600.0,10.0,9.0,36.0,19.47,5.88,0.26
weekday_evening,LSA16,LSA16_W_id5,5,2700.0,3600.0,65.0,65.0,260.0,46.03,7.93,0.71
weekday_evening,LSA16,LSA16_Wout_id15,15,2700.0,3600.0,112.0,112.0,448.0,4.82,13.36,13.29
weekday_evening,LSA1,LSA1_E_id13,13,2700.0,3600.0,47.0,45.0,180.0,35.2,7.64,0.65
weekday_evening,LSA1,LSA1_E_id14,14,2700.0,3600.0,121.0,119.0,476.0,13.79,10.72,4.82
weekday_evening,LSA1,LSA1_E_id23,23,2700.0,3600.0,86.0,86.0,344.0,41.77,8.92,1.04
weekday_evening,LSA1,LSA1_E_id24,24,2700.0,3600.0,82.0,82.0,328.0,11.03,10.27,4.64
weekday_evening,LSA1,LSA1_E_id25,25,2700.0,3600.0,36.0,35.0,140.0,63.04,4.73,0.3
weekday_evening,LSA1,LSA1_E_id26,26,2700.0,3600.0,37.0,37.0,148.0,10.55,8.17,2.14
weekday_evening,LSA1,LSA1_E_id27,27,2700.0,3600.0,70.0,70.0,280.0,10.73,9.93,3.8
weekday_evening,LSA1,LSA1_N_id28,28,2700.0,3600.0,23.0,23.0,92.0,34.04,6.57,0.34
weekday_evening,LSA1,LSA1_N_id30,30,2700.0,3600.0,80.0,80.0,320.0,74.36,7.92,0.67
weekday_evening,LSA1,LSA1_N_id39,39,2700.0,3600.0,79.0,79.0,316.0,36.61,8.27,1.37
weekday_evening,LSA1,LSA1_N_id40,40,2700.0,3600.0,38.0,38.0,152.0,38.38,6.78,0.57
weekday_evening,LSA1,LSA1_S_id11,11,2700.0,3600.0,0.0,0.0,0.0,0.0,-1.0,-1.0
weekday_evening,LSA1,LSA1_S_id12,12,2700.0,3600.0,0.0,0.0,0.0,0.0,-1.0,-1.0
weekday_evening,LSA1,LSA1_W_id10,10,2700.0,3600.0,70.0,70.0,280.0,29.35,7.95,1.24
weekday_evening,LSA1,LSA1_W_id7,7,2700.0,3600.0,32.0,32.0,128.0,58.41,5.45,0.31
weekday_evening,LSA1,LSA1_W_id8,8,2700.0,3600.0,32.0,32.0,128.0,45.14,5.47,0.4
weekday_evening,LSA1,LSA1_W_id9,9,2700.0,3600.0,70.0,70.0,280.0,37.73,7.71,0.97
weekday_evening,LSA9,LSA9_E_id8,8,2700.0,3600.0,76.0,71.0,284.0,11.49,9.41,3.68
weekday_evening,LSA9,LSA9_E_id9,9,2700.0,3600.0,32.0,32.0,128.0,19.35,6.8,0.9
weekday_evening,LSA9,LSA9_S_id10,10,2700.0,3600.0,14.0,14.0,56.0,41.03,2.9,0.17
weekday_evening,LSA9,LSA9_WE_id4,4,2700.0,3600.0,24.0,24.0,96.0,36.03,3.9,0.36
weekday_evening,LSA9,LSA9_WE_id5,5,2700.0,3600.0,22.0,23.0,92.0,51.71,4.11,0.24
weekday_evening,LSA9,LSA9_WE_id6,6,2700.0,3600.0,22.0,22.0,88.0,3.48,8.2,3.33
weekday_evening,LSA9,LSA9_WE_id7,7,2700.0,3600.0,24.0,24.0,96.0,2.75,9.34,4.56
weekday_evening,LSA9,LSA9_W_id1,1,2700.0,3600.0,77.0,77.0,308.0,59.89,7.98,0.78
weekday_evening,LSA9,LSA9_W_id2,2,2700.0,3600.0,20.0,20.0,80.0,95.96,2.42,0.12
weekday_evening,LSA10,LSA10_E_id3,3,3600.0,4500.0,58.0,58.0,232.0,10.25,9.28,3.12
weekday_evening,LSA10,LSA10_E_id4,4,3600.0,4500.0,56.0,55.0,220.0,7.7,9.32,4.39
weekday_evening,LSA10,LSA10_NE_id29,29,3600.0,4500.0,6.0,6.0,24.0,0.53,5.9,5.68
weekday_evening,LSA10,LSA10_NW_id2,2,3600.0,4500.0,20.0,20.0,80.0,0.79,14.08,14.0
weekday_evening,LSA10,LSA10_NW_id26,26,3600.0,4500.0,6.0,6.0,24.0,3.45,4.32,0.87
weekday_evening,LSA10,LSA10_NW_id27,27,3600.0,4500.0,15.0,15.0,60.0,4.11,6.3,1.89
weekday_evening,LSA10,LSA10_S_id31,31,3600.0,4500.0,18.0,19.0,76.0,32.42,3.94,0.4
weekday_evening,LSA10,LSA10_W_id1,1,3600.0,4500.0,53.0,54.0,216.0,89.35,4.63,0.32
weekday_evening,LSA16,LSA16_E_id10,10,3600.0,4500.0,84.0,84.0,336.0,7.62,9.29,6.0
weekday_evening,LSA16,LSA16_E_id11,11,3600.0,4500.0,53.0,53.0,212.0,29.3,7.46,1.23
weekday_evening,LSA16,LSA16_E_id14,14,3600.0,4500.0,53.0,53.0,212.0,15.66,11.93,1.74
weekday_evening,LSA16,LSA16_Eout_id13,13,3600.0,4500.0,50.0,51.0,204.0,49.48,4.43,0.49
weekday_evening,LSA16,LSA16_N_id6,6,3600.0,4500.0,26.0,26.0,104.0,6.43,9.1,2.05
weekday_evening,LSA16,LSA16_N_id7,7,3600.0,4500.0,27.0,27.0,108.0,4.23,11.35,3.33
weekday_evening,LSA16,LSA16_S_id1,1,3600.0,4500.0,2.0,2.0,8.0,99.61,0.01,0.01
weekday_evening,LSA16,LSA16_S_id2,2,3600.0,4500.0,26.0,26.0,104.0,1.15,12.73,12.51
weekday_evening,LSA16,LSA16_S_id33,33,3600.0,4500.0,12.0,12.0,48.0,0.49,13.23,13.2
weekday_evening,LSA16,LSA16_W_id3,3,3600.0,4500.0,40.0,40.0,160.0,92.85,6.79,0.22
weekday_evening,LSA16,LSA16_W_id4,4,3600.0,4500.0,14.0,15.0,60.0,32.78,3.01,0.23
weekday_evening,LSA16,LSA16_W_id5,5,3600.0,4500.0,42.0,41.0,164.0,65.75,7.15,0.4
weekday_evening,LSA16,LSA16_Wout_id15,15,3600.0,4500.0,88.0,88.0,352.0,3.67,13.33,13.29
weekday_evening,LSA1,LSA1_E_id13,13,3600.0,4500.0,44.0,42.0,168.0,30.98,8.16,0.8
weekday_evening,LSA1,LSA1_E_id14,14,3600.0,4500.0,126.0,122.0,488.0,17.84,10.69,3.75
weekday_evening,LSA1,LSA1_E_id23,23,3600.0,4500.0,87.0,86.0,344.0,32.5,9.49,1.42
weekday_evening,LSA1,LSA1_E_id24,24,3600.0,4500.0,80.0,80.0,320.0,15.15,10.11,2.75
weekday_evening,LSA1,LSA1_E_id25,25,3600.0,4500.0,35.0,35.0,140.0,57.62,4.22,0.31
weekday_evening,LSA1,LSA1_E_id26,26,3600.0,4500.0,37.0,36.0,144.0,9.38,9.04,2.98
weekday_evening,LSA1,LSA1_E_id27,27,3600.0,4500.0,74.0,74.0,296.0,11.35,9.57,3.68
weekday_evening,LSA1,LSA1_N_id28,28,3600.0,4500.0,13.0,13.0,52.0,16.07,6.28,0.45
weekday_evening,LSA1,LSA1_N_id30,30,3600.0,4500.0,87.0,87.0,348.0,77.56,7.89,0.61
weekday_evening,LSA1,LSA1_N_id39,39,3600.0,4500.0,87.0,88.0,352.0,43.22,7.12,1.06
weekday_evening,LSA1,LSA1_N_id40,40,3600.0,4500.0,56.0,56.0,224.0,41.72,7.87,0.68
weekday_evening,LSA1,LSA1_S_id11,11,3600.0,4500.0,0.0,0.0,0.0,0.0,-1.0,-1.0
weekday_evening,LSA1,LSA1_S_id12,12,3600.0,4500.0,0.0,0.0,0.0,0.0,-1.0,-1.0
weekday_evening,LSA1,LSA1_W_id10,10,3600.0,4500.0,68.0,68.0,272.0,25.96,8.29,1.55
weekday_evening,LSA1,LSA1_W_id7,7,3600.0,4500.0,10.0,10.0,40.0,18.36,5.4,0.34
weekday_evening,LSA1,LSA1_W_id8,8,3600.0,4500.0,10.0,10.0,40.0,7.92,7.46,0.79
weekday_evening,LSA1,LSA1_W_id9,9,3600.0,4500.0,68.0,68.0,272.0,34.27,8.18,1.18
weekday_evening,LSA9,LSA9_E_id8,8,3600.0,4500.0,91.0,87.0,348.0,26.23,9.75,2.52
weekday_evening,LSA9,LSA9_E_id9,9,3600.0,4500.0,44.0,44.0,176.0,9.23,8.77,2.48
weekday_evening,LSA9,LSA9_S_id10,10,3600.0,4500.0,11.0,11.0,44.0,25.97,3.33,0.21
weekday_evening,LSA9,LSA9_WE_id4,4,3600.0,4500.0,14.0,14.0,56.0,22.75,3.38,0.31
weekday_evening,LSA9,LSA9_WE_id5,5,3600.0,4500.0,21.0,21.0,84.0,47.59,4.8,0.23
weekday_evening,LSA9,LSA9_WE_id6,6,3600.0,4500.0,12.0,12.0,48.0,0.66,10.5,9.62
weekday_evening,LSA9,LSA9_WE_id7,7,3600.0,4500.0,23.0,23.0,92.0,1.66,9.23,7.62
weekday_evening,LSA9,LSA9_W_id1,1,3600.0,4500.0,49.0,48.0,192.0,40.5,7.58,0.7
weekday_evening,LSA9,LSA9_W_id2,2,3600.0,4500.0,16.0,16.0,64.0,86.51,1.99,0.11
