intersection,date,begin_s,end_s,detector_id,sumo_id,approach,edge_id,count_type,from_edge,to_edge,movement,count,mean_occupancy,mean_speed
LD-LSA9,2026-03-22,58500,59400,5,LSA9_WE_id5,North-West,,,,,,7,19.0,0.0
LD-LSA9,2026-03-22,58500,59400,6,LSA9_WE_id6,North-West,,,,,,22,25.0,0.0
LD-LSA9,2026-03-22,58500,59400,7,LSA9_WE_id7,North-West,,,,,,15,9.0,0.0
LD-LSA9,2026-03-22,58500,59400,8,LSA9_E_id8,East,,,,,,82,35.0,0.0
LD-LSA9,2026-03-22,58500,59400,9,LSA9_E_id9,East,,,,,,42,9.0,0.0
LD-LSA9,2026-03-22,58500,59400,10,,South,,,,,,7,1.0,0.0
LD-LSA9,2026-03-22,58500,59400,11,,Middle,,,,,,41,13.0,0.0
LD-LSA1,2026-03-22,59400,60300,7,LSA1_W_id7,West,,,,,,38,60.0,0.0
LD-LSA1,2026-03-22,59400,60300,8,LSA1_W_id8,West,,,,,,88,20.0,0.0
LD-LSA1,2026-03-22,59400,60300,9,LSA1_W_id9,West,,,,,,95,42.0,0.0
LD-LSA1,2026-03-22,59400,60300,10,LSA1_W_id10,West,,,,,,107,19.0,0.0
LD-LSA1,2026-03-22,59400,60300,11,LSA1_S_id11,South,,,,,,0,0.0,0.0
LD-LSA1,2026-03-22,59400,60300,12,LSA1_S_id12,South,,,,,,0,0.0,0.0
LD-LSA1,2026-03-22,59400,60300,13,LSA1_E_id13,East,,,,,,46,43.0,0.0
LD-LSA1,2026-03-22,59400,60300,14,LSA1_E_id14,East,,,,,,106,20.0,0.0
LD-LSA1,2026-03-22,59400,60300,23,LSA1_E_id23,East,,,,,,61,40.0,0.0
LD-LSA1,2026-03-22,59400,60300,24,LSA1_E_id24,East,,,,,,84,24.0,0.0
LD-LSA1,2026-03-22,59400,60300,25,LSA1_E_id25,East,,,,,,0,100.0,0.0
LD-LSA1,2026-03-22,59400,60300,26,LSA1_E_id26,East,,,,,,15,1.0,0.0
LD-LSA1,2026-03-22,59400,60300,27,LSA1_E_id27,East,,,,,,44,14.0,0.0
LD-LSA1,2026-03-22,59400,60300,28,LSA1_N_id28,North,,,,,,12,18.0,0.0
LD-LSA1,2026-03-22,59400,60300,29,LSA1_N_id29,North,,,,,,0,100.0,0.0
LD-LSA1,2026-03-22,59400,60300,30,LSA1_N_id30,North,,,,,,38,43.0,0.0
LD-LSA1,2026-03-22,59400,60300,39,LSA1_N_id39,North,,,,,,47,11.0,0.0
LD-LSA1,2026-03-22,59400,60300,40,LSA1_N_id40,North,,,,,,52,14.0,0.0
LD-LSA10,2026-03-22,59400,60300,1,LSA10_W_id1,West,,,,,,61,50.0,0.0
LD-LSA10,2026-03-22,59400,60300,2,LSA10_NW_id2,North-West,,,,,,38,33.0,0.0
LD-LSA10,2026-03-22,59400,60300,3,LSA10_E_id3,East,,,,,,63,20.0,0.0
LD-LSA10,2026-03-22,59400,60300,4,LSA10_E_id4,East,,,,,,32,8.0,0.0
LD-LSA10,2026-03-22,59400,60300,26,LSA10_NW_id26,North-West,,,,,,11,38.0,0.0
LD-LSA10,2026-03-22,59400,60300,27,LSA10_NW_id27,North-West,,,,,,15,62.0,0.0
LD-LSA10,2026-03-22,59400,60300,29,LSA10_NE_id29,North-East,,,,,,10,1.0,0.0
LD-LSA10,2026-03-22,59400,60300,31,LSA10_S_id31,South,,,,,,19,27.0,0.0
LD-LSA16,2026-03-22,59400,60300,1,LSA16_S_id1,South,,,,,,34,24.0,0.0
LD-LSA16,2026-03-22,59400,60300,2,LSA16_S_id2,South,,,,,,37,14.0,0.0
LD-LSA16,2026-03-22,59400,60300,3,LSA16_W_id3,West,,,,,,68,44.0,0.0
LD-LSA16,2026-03-22,59400,60300,4,LSA16_W_id4,West,,,,,,8,24.0,0.0
LD-LSA16,2026-03-22,59400,60300,5,LSA16_W_id5,West,,,,,,63,41.0,0.0
LD-LSA16,2026-03-22,59400,60300,6,LSA16_N_id6,North,,,,,,8,2.0,0.0
LD-LSA16,2026-03-22,59400,60300,7,LSA16_N_id7,North,,,,,,40,14.0,0.0
LD-LSA16,2026-03-22,59400,60300,10,LSA16_E_id10,East,,,,,,47,30.0,0.0
LD-LSA16,2026-03-22,59400,60300,11,LSA16_E_id11,East,,,,,,35,10.0,0.0
LD-LSA16,2026-03-22,59400,60300,13,LSA16_Eout_id13,East-Exit,,,,,,111,22.0,0.0
LD-LSA16,2026-03-22,59400,60300,15,LSA16_Wout_id15,West-Exit,,,,,,75,17.0,0.0
LD-LSA16,2026-03-22,59400,60300,33,LSA16_S_id33,South,,,,,,21,20.0,0.0
LD-LSA9,2026-03-22,59400,60300,1,LSA9_W_id1,West,,,,,,67,53.0,0.0
LD-LSA9,2026-03-22,59400,60300,2,LSA9_W_id2,West,,,,,,83,45.0,0.0
LD-LSA9,2026-03-22,59400,60300,3,,North-East,,,,,,2,0.0,0.0
LD-LSA9,2026-03-22,59400,60300,4,LSA9_WE_id4,North-West,,,,,,16,53.0,0.0
LD-LSA9,2026-03-22,59400,60300,5,LSA9_WE_id5,North-West,,,,,,9,39.0,0.0
LD-LSA9,2026-03-22,59400,60300,6,LSA9_WE_id6,North-West,,,,,,20,6.0,0.0
LD-LSA9,2026-03-22,59400,60300,7,LSA9_WE_id7,North-West,,,,,,15,8.0,0.0
LD-LSA9,2026-03-22,59400,60300,8,LSA9_E_id8,East,,,,,,91,32.0,0.0
LD-LSA9,2026-03-22,59400,60300,9,LSA9_E_id9,East,,,,,,52,15.0,0.0
LD-LSA9,2026-03-22,59400,60300,10,,South,,,,,,11,11.0,0.0
LD-LSA9,2026-03-22,59400,60300,11,,Middle,,,,,,41,15.0,0.0
LD-LSA1,2026-03-22,60300,61200,7,LSA1_W_id7,West,,,,,,40,49.0,0.0
