intersection,date,timestamp_utc,timestamp_local,time,begin_s,end_s,detector_id,sumo_id,approach,edge_id,movement,count_type,from_edge,to_edge,count,occupancy,speed
LD-LSA16,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,5,LSA16_W_id5,West,,,,,,45,48,0
LD-LSA16,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,6,LSA16_N_id6,North,,,,,,12,2,0
LD-LSA16,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,7,LSA16_N_id7,North,,,,,,20,9,0
LD-LSA16,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,10,LSA16_E_id10,East,,,,,,37,33,0
LD-LSA16,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,11,LSA16_E_id11,East,,,,,,25,12,0
LD-LSA16,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,13,LSA16_Eout_id13,East-Exit,,,,,,96,21,0
LD-LSA16,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,15,LSA16_Wout_id15,West-Exit,,,,,,51,14,0
LD-LSA16,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,33,LSA16_S_id33,South,,,,,,30,16,0
LD-LSA9,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,1,LSA9_W_id1,West,,,,,,53,34,0
LD-LSA9,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,2,LSA9_W_id2,West,,,,,,68,24,0
LD-LSA9,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,3,,North-East,,,,,,1,0,0
LD-LSA9,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,4,LSA9_WE_id4,North-West,,,,,,14,29,0
LD-LSA9,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,5,LSA9_WE_id5,North-West,,,,,,13,32,0
LD-LSA9,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,6,LSA9_WE_id6,North-West,,,,,,12,22,0
LD-LSA9,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,7,LSA9_WE_id7,North-West,,,,,,51,21,0
LD-LSA9,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,8,LSA9_E_id8,East,,,,,,68,19,0
LD-LSA9,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,9,LSA9_E_id9,East,,,,,,28,9,0
LD-LSA9,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,10,,South,,,,,,1,10,0
LD-LSA9,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,11,,Middle,,,,,,40,14,0
LD-LSA9,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,1,LSA9_W_id1,West,,,,,,43,40,0
LD-LSA9,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,2,LSA9_W_id2,West,,,,,,66,23,0
LD-LSA9,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,3,,North-East,,,,,,2,4,0
LD-LSA9,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,4,LSA9_WE_id4,North-West,,,,,,17,38,0
LD-LSA9,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,5,LSA9_WE_id5,North-West,,,,,,11,37,0
LD-LSA9,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,6,LSA9_WE_id6,North-West,,,,,,26,36,0
LD-LSA9,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,7,LSA9_WE_id7,North-West,,,,,,26,13,0
LD-LSA9,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,8,LSA9_E_id8,East,,,,,,64,26,0
LD-LSA9,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,9,LSA9_E_id9,East,,,,,,24,6,0
LD-LSA9,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,10,,South,,,,,,0,0,0
LD-LSA9,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,11,,Middle,,,,,,28,12,0
LD-LSA9,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,1,LSA9_W_id1,West,,,,,,57,44,0
LD-LSA9,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,2,LSA9_W_id2,West,,,,,,78,42,0
LD-LSA9,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,3,,North-East,,,,,,1,0,0
LD-LSA9,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,4,LSA9_WE_id4,North-West,,,,,,7,24,0
LD-LSA9,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,5,LSA9_WE_id5,North-West,,,,,,11,27,0
LD-LSA9,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,6,LSA9_WE_id6,North-West,,,,,,13,9,0
LD-LSA9,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,7,LSA9_WE_id7,North-West,,,,,,20,14,0
LD-LSA9,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,8,LSA9_E_id8,East,,,,,,70,28,0
LD-LSA9,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,9,LSA9_E_id9,East,,,,,,41,10,0
LD-LSA9,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,10,,South,,,,,,0,0,0
LD-LSA9,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,11,,Middle,,,,,,47,15,0
LD-LSA9,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,1,LSA9_W_id1,West,,,,,,39,50,0
LD-LSA9,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,2,LSA9_W_id2,West,,,,,,80,40,0
LD-LSA9,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,3,,North-East,,,,,,1,0,0
LD-LSA9,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,4,LSA9_WE_id4,North-West,,,,,,13,46,0
LD-LSA9,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,5,LSA9_WE_id5,North-West,,,,,,9,26,0
LD-LSA9,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,6,LSA9_WE_id6,North-West,,,,,,47,24,0
LD-LSA9,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,7,LSA9_WE_id7,North-West,,,,,,32,10,0
