intersection,date,begin_s,end_s,detector_id,sumo_id,approach,edge_id,count_type,from_edge,to_edge,movement,count,mean_occupancy,mean_speed
LD-LSA16,2026-03-10,28800,29700,11,LSA16_E_id11,East,,,,,,38,17.0,0.0
LD-LSA16,2026-03-10,29700,30600,11,LSA16_E_id11,East,,,,,,32,5.0,0.0
LD-LSA16,2026-03-10,30600,31500,11,LSA16_E_id11,East,,,,,,34,8.0,0.0
LD-LSA16,2026-03-10,31500,32400,11,LSA16_E_id11,East,,,,,,105,14.0,0.0
LD-LSA16,2026-03-10,28800,29700,13,LSA16_Eout_id13,East-Exit,,,,,,136,41.0,0.0
LD-LSA16,2026-03-10,29700,30600,13,LSA16_Eout_id13,East-Exit,,,,,,108,29.0,0.0
LD-LSA16,2026-03-10,30600,31500,13,LSA16_Eout_id13,East-Exit,,,,,,137,33.0,0.0
LD-LSA16,2026-03-10,31500,32400,13,LSA16_Eout_id13,East-Exit,,,,,,82,34.0,0.0
LD-LSA16,2026-03-10,28800,29700,15,LSA16_Wout_id15,West-Exit,,,,,,64,11.0,0.0
LD-LSA16,2026-03-10,29700,30600,15,LSA16_Wout_id15,West-Exit,,,,,,54,16.0,0.0
LD-LSA16,2026-03-10,30600,31500,15,LSA16_Wout_id15,West-Exit,,,,,,73,12.0,0.0
LD-LSA16,2026-03-10,31500,32400,15,LSA16_Wout_id15,West-Exit,,,,,,69,17.0,0.0
LD-LSA16,2026-03-10,28800,29700,33,LSA16_S_id33,South,,,,,,32,55.0,0.0
LD-LSA16,2026-03-10,29700,30600,33,LSA16_S_id33,South,,,,,,25,15.0,0.0
LD-LSA16,2026-03-10,30600,31500,33,LSA16_S_id33,South,,,,,,37,37.0,0.0
LD-LSA16,2026-03-10,31500,32400,33,LSA16_S_id33,South,,,,,,33,28.0,0.0
LD-LSA9,2026-03-10,28800,29700,1,LSA9_W_id1,West,,,,,,53,62.0,0.0
LD-LSA9,2026-03-10,29700,30600,1,LSA9_W_id1,West,,,,,,57,67.0,0.0
LD-LSA9,2026-03-10,30600,31500,1,LSA9_W_id1,West,,,,,,52,63.0,0.0
LD-LSA9,2026-03-10,31500,32400,1,LSA9_W_id1,West,,,,,,60,61.0,0.0
LD-LSA9,2026-03-10,28800,29700,2,LSA9_W_id2,West,,,,,,79,56.0,0.0
LD-LSA9,2026-03-10,29700,30600,2,LSA9_W_id2,West,,,,,,120,60.0,0.0
LD-LSA9,2026-03-10,30600,31500,2,LSA9_W_id2,West,,,,,,95,59.0,0.0
LD-LSA9,2026-03-10,31500,32400,2,LSA9_W_id2,West,,,,,,63,66.0,0.0
LD-LSA9,2026-03-10,28800,29700,3,,North-East,,,,,,4,1.0,0.0
LD-LSA9,2026-03-10,29700,30600,3,,North-East,,,,,,1,0.0,0.0
LD-LSA9,2026-03-10,30600,31500,3,,North-East,,,,,,1,0.0,0.0
LD-LSA9,2026-03-10,31500,32400,3,,North-East,,,,,,2,0.0,0.0
LD-LSA9,2026-03-10,28800,29700,4,LSA9_WE_id4,North-West,,,,,,12,44.0,0.0
LD-LSA9,2026-03-10,29700,30600,4,LSA9_WE_id4,North-West,,,,,,12,40.0,0.0
LD-LSA9,2026-03-10,30600,31500,4,LSA9_WE_id4,North-West,,,,,,15,56.0,0.0
LD-LSA9,2026-03-10,31500,32400,4,LSA9_WE_id4,North-West,,,,,,16,54.0,0.0
LD-LSA9,2026-03-10,28800,29700,5,LSA9_WE_id5,North-West,,,,,,5,26.0,0.0
LD-LSA9,2026-03-10,29700,30600,5,LSA9_WE_id5,North-West,,,,,,10,48.0,0.0
LD-LSA9,2026-03-10,30600,31500,5,LSA9_WE_id5,North-West,,,,,,10,45.0,0.0
LD-LSA9,2026-03-10,31500,32400,5,LSA9_WE_id5,North-West,,,,,,16,59.0,0.0
LD-LSA9,2026-03-10,28800,29700,6,LSA9_WE_id6,North-West,,,,,,16,32.0,0.0
LD-LSA9,2026-03-10,29700,30600,6,LSA9_WE_id6,North-West,,,,,,18,28.0,0.0
LD-LSA9,2026-03-10,30600,31500,6,LSA9_WE_id6,North-West,,,,,,23,28.0,0.0
LD-LSA9,2026-03-10,31500,32400,6,LSA9_WE_id6,North-West,,,,,,18,35.0,0.0
LD-LSA9,2026-03-10,28800,29700,7,LSA9_WE_id7,North-West,,,,,,26,5.0,0.0
LD-LSA9,2026-03-10,29700,30600,7,LSA9_WE_id7,North-West,,,,,,24,18.0,0.0
LD-LSA9,2026-03-10,30600,31500,7,LSA9_WE_id7,North-West,,,,,,26,10.0,0.0
LD-LSA9,2026-03-10,31500,32400,7,LSA9_WE_id7,North-West,,,,,,26,37.0,0.0
LD-LSA9,2026-03-10,28800,29700,8,LSA9_E_id8,East,,,,,,75,47.0,0.0
LD-LSA9,2026-03-10,29700,30600,8,LSA9_E_id8,East,,,,,,78,48.0,0.0
LD-LSA9,2026-03-10,30600,31500,8,LSA9_E_id8,East,,,,,,86,38.0,0.0
LD-LSA9,2026-03-10,31500,32400,8,LSA9_E_id8,East,,,,,,98,61.0,0.0
LD-LSA9,2026-03-10,28800,29700,9,LSA9_E_id9,East,,,,,,46,18.0,0.0
LD-LSA9,2026-03-10,29700,30600,9,LSA9_E_id9,East,,,,,,42,13.0,0.0
LD-LSA9,2026-03-10,30600,31500,9,LSA9_E_id9,East,,,,,,44,12.0,0.0
LD-LSA9,2026-03-10,31500,32400,9,LSA9_E_id9,East,,,,,,51,16.0,0.0
LD-LSA9,2026-03-10,28800,29700,10,,South,,,,,,3,5.0,0.0
LD-LSA9,2026-03-10,29700,30600,10,,South,,,,,,1,0.0,0.0
LD-LSA9,2026-03-10,30600,31500,10,,South,,,,,,3,0.0,0.0
LD-LSA9,2026-03-10,31500,32400,10,,South,,,,,,1,0.0,0.0
LD-LSA9,2026-03-10,28800,29700,11,,Middle,,,,,,52,28.0,0.0
LD-LSA9,2026-03-10,29700,30600,11,,Middle,,,,,,63,25.0,0.0
LD-LSA9,2026-03-10,30600,31500,11,,Middle,,,,,,39,20.0,0.0
LD-LSA9,2026-03-10,31500,32400,11,,Middle,,,,,,47,32.0,0.0
