block_id,start_time,end_time,date,K1,K2,K3,K4,K5,pattern,stage,program,n_seconds,duration_s
119,2026-03-10 08:10:35+01:00,2026-03-10 08:10:35+01:00,2026-03-10,3,2,2,3,2,3-2-2-3-2,1,3,1,1
120,2026-03-10 08:10:36+01:00,2026-03-10 08:10:37+01:00,2026-03-10,2,2,2,3,2,2-2-2-3-2,1,3,2,2
121,2026-03-10 08:10:38+01:00,2026-03-10 08:10:39+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,1,3,2,2
122,2026-03-10 08:10:40+01:00,2026-03-10 08:10:40+01:00,2026-03-10,2,2,2,2,5,2-2-2-2-5,1,3,1,1
123,2026-03-10 08:10:41+01:00,2026-03-10 08:10:48+01:00,2026-03-10,2,2,2,2,4,2-2-2-2-4,1,3,8,8
124,2026-03-10 08:10:49+01:00,2026-03-10 08:10:51+01:00,2026-03-10,2,2,2,2,3,2-2-2-2-3,2,3,3,3
125,2026-03-10 08:10:52+01:00,2026-03-10 08:10:55+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,2,3,4,4
126,2026-03-10 08:10:56+01:00,2026-03-10 08:10:56+01:00,2026-03-10,2,5,5,2,2,2-5-5-2-2,2,3,1,1
127,2026-03-10 08:10:57+01:00,2026-03-10 08:11:06+01:00,2026-03-10,2,4,4,2,2,2-4-4-2-2,2,3,10,10
128,2026-03-10 08:11:07+01:00,2026-03-10 08:11:09+01:00,2026-03-10,2,3,4,2,2,2-3-4-2-2,4,3,3,3
129,2026-03-10 08:11:10+01:00,2026-03-10 08:11:12+01:00,2026-03-10,2,2,3,2,2,2-2-3-2-2,4,3,3,3
130,2026-03-10 08:11:13+01:00,2026-03-10 08:11:13+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,4,3,1,1
131,2026-03-10 08:11:14+01:00,2026-03-10 08:11:14+01:00,2026-03-10,2,2,2,5,2,2-2-2-5-2,4,3,1,1
132,2026-03-10 08:11:15+01:00,2026-03-10 08:11:15+01:00,2026-03-10,5,2,2,4,2,5-2-2-4-2,4,3,1,1
133,2026-03-10 08:11:16+01:00,2026-03-10 08:11:59+01:00,2026-03-10,4,2,2,4,2,4-2-2-4-2,4,3,44,44
134,2026-03-10 08:12:00+01:00,2026-03-10 08:12:01+01:00,2026-03-10,3,2,2,4,2,3-2-2-4-2,1,3,2,2
135,2026-03-10 08:12:02+01:00,2026-03-10 08:12:02+01:00,2026-03-10,3,2,2,3,2,3-2-2-3-2,1,3,1,1
136,2026-03-10 08:12:03+01:00,2026-03-10 08:12:04+01:00,2026-03-10,2,2,2,3,2,2-2-2-3-2,1,3,2,2
137,2026-03-10 08:12:05+01:00,2026-03-10 08:12:06+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,1,3,2,2
138,2026-03-10 08:12:07+01:00,2026-03-10 08:12:07+01:00,2026-03-10,2,2,2,2,5,2-2-2-2-5,1,3,1,1
139,2026-03-10 08:12:08+01:00,2026-03-10 08:12:20+01:00,2026-03-10,2,2,2,2,4,2-2-2-2-4,1,3,13,13
140,2026-03-10 08:12:21+01:00,2026-03-10 08:12:23+01:00,2026-03-10,2,2,2,2,3,2-2-2-2-3,2,3,3,3
141,2026-03-10 08:12:24+01:00,2026-03-10 08:12:27+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,2,3,4,4
142,2026-03-10 08:12:28+01:00,2026-03-10 08:12:28+01:00,2026-03-10,2,5,5,2,2,2-5-5-2-2,2,3,1,1
143,2026-03-10 08:12:29+01:00,2026-03-10 08:12:38+01:00,2026-03-10,2,4,4,2,2,2-4-4-2-2,2,3,10,10
144,2026-03-10 08:12:39+01:00,2026-03-10 08:12:41+01:00,2026-03-10,2,3,4,2,2,2-3-4-2-2,4,3,3,3
145,2026-03-10 08:12:42+01:00,2026-03-10 08:12:44+01:00,2026-03-10,2,2,3,2,2,2-2-3-2-2,4,3,3,3
146,2026-03-10 08:12:45+01:00,2026-03-10 08:12:45+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,4,3,1,1
147,2026-03-10 08:12:46+01:00,2026-03-10 08:12:46+01:00,2026-03-10,2,2,2,5,2,2-2-2-5-2,4,3,1,1
148,2026-03-10 08:12:47+01:00,2026-03-10 08:12:47+01:00,2026-03-10,5,2,2,4,2,5-2-2-4-2,4,3,1,1
149,2026-03-10 08:12:48+01:00,2026-03-10 08:13:32+01:00,2026-03-10,4,2,2,4,2,4-2-2-4-2,4,3,45,45
150,2026-03-10 08:13:33+01:00,2026-03-10 08:13:34+01:00,2026-03-10,3,2,2,4,2,3-2-2-4-2,1,3,2,2
151,2026-03-10 08:13:35+01:00,2026-03-10 08:13:35+01:00,2026-03-10,3,2,2,3,2,3-2-2-3-2,1,3,1,1
152,2026-03-10 08:13:36+01:00,2026-03-10 08:13:37+01:00,2026-03-10,2,2,2,3,2,2-2-2-3-2,1,3,2,2
153,2026-03-10 08:13:38+01:00,2026-03-10 08:13:39+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,1,3,2,2
154,2026-03-10 08:13:40+01:00,2026-03-10 08:13:40+01:00,2026-03-10,2,2,2,2,5,2-2-2-2-5,1,3,1,1
155,2026-03-10 08:13:41+01:00,2026-03-10 08:13:50+01:00,2026-03-10,2,2,2,2,4,2-2-2-2-4,1,3,10,10
156,2026-03-10 08:13:51+01:00,2026-03-10 08:13:53+01:00,2026-03-10,2,2,2,2,3,2-2-2-2-3,2,3,3,3
157,2026-03-10 08:13:54+01:00,2026-03-10 08:13:57+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,2,3,4,4
158,2026-03-10 08:13:58+01:00,2026-03-10 08:13:58+01:00,2026-03-10,2,5,5,2,2,2-5-5-2-2,2,3,1,1
159,2026-03-10 08:13:59+01:00,2026-03-10 08:14:10+01:00,2026-03-10,2,4,4,2,2,2-4-4-2-2,2,3,12,12
160,2026-03-10 08:14:11+01:00,2026-03-10 08:14:11+01:00,2026-03-10,2,4,3,2,2,2-4-3-2-2,4,3,1,1
161,2026-03-10 08:14:12+01:00,2026-03-10 08:14:13+01:00,2026-03-10,2,3,3,2,2,2-3-3-2-2,4,3,2,2
162,2026-03-10 08:14:14+01:00,2026-03-10 08:14:14+01:00,2026-03-10,2,3,2,2,2,2-3-2-2-2,4,3,1,1
163,2026-03-10 08:14:15+01:00,2026-03-10 08:14:18+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,4,3,4,4
164,2026-03-10 08:14:19+01:00,2026-03-10 08:14:19+01:00,2026-03-10,5,2,2,2,2,5-2-2-2-2,4,3,1,1
165,2026-03-10 08:14:20+01:00,2026-03-10 08:14:35+01:00,2026-03-10,4,2,2,2,2,4-2-2-2-2,4,3,16,16
166,2026-03-10 08:14:36+01:00,2026-03-10 08:14:36+01:00,2026-03-10,4,2,2,5,2,4-2-2-5-2,3,3,1,1
167,2026-03-10 08:14:37+01:00,2026-03-10 08:15:02+01:00,2026-03-10,4,2,2,4,2,4-2-2-4-2,3,3,26,26
168,2026-03-10 08:15:03+01:00,2026-03-10 08:15:04+01:00,2026-03-10,3,2,2,4,2,3-2-2-4-2,1,3,2,2
169,2026-03-10 08:15:05+01:00,2026-03-10 08:15:05+01:00,2026-03-10,3,2,2,3,2,3-2-2-3-2,1,3,1,1
170,2026-03-10 08:15:06+01:00,2026-03-10 08:15:07+01:00,2026-03-10,2,2,2,3,2,2-2-2-3-2,1,3,2,2
171,2026-03-10 08:15:08+01:00,2026-03-10 08:15:09+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,1,3,2,2
172,2026-03-10 08:15:10+01:00,2026-03-10 08:15:10+01:00,2026-03-10,2,2,2,2,5,2-2-2-2-5,1,3,1,1
173,2026-03-10 08:15:11+01:00,2026-03-10 08:15:20+01:00,2026-03-10,2,2,2,2,4,2-2-2-2-4,1,3,10,10
174,2026-03-10 08:15:21+01:00,2026-03-10 08:15:23+01:00,2026-03-10,2,2,2,2,3,2-2-2-2-3,2,3,3,3
175,2026-03-10 08:15:24+01:00,2026-03-10 08:15:27+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,2,3,4,4
176,2026-03-10 08:15:28+01:00,2026-03-10 08:15:28+01:00,2026-03-10,2,5,5,2,2,2-5-5-2-2,2,3,1,1
177,2026-03-10 08:15:29+01:00,2026-03-10 08:15:48+01:00,2026-03-10,2,4,4,2,2,2-4-4-2-2,2,3,20,20
178,2026-03-10 08:15:49+01:00,2026-03-10 08:15:51+01:00,2026-03-10,2,3,4,2,2,2-3-4-2-2,4,3,3,3
179,2026-03-10 08:15:52+01:00,2026-03-10 08:15:54+01:00,2026-03-10,2,2,3,2,2,2-2-3-2-2,4,3,3,3
180,2026-03-10 08:15:55+01:00,2026-03-10 08:15:55+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,4,3,1,1
181,2026-03-10 08:15:56+01:00,2026-03-10 08:15:56+01:00,2026-03-10,2,2,2,5,2,2-2-2-5-2,4,3,1,1
182,2026-03-10 08:15:57+01:00,2026-03-10 08:15:57+01:00,2026-03-10,5,2,2,4,2,5-2-2-4-2,4,3,1,1
183,2026-03-10 08:15:58+01:00,2026-03-10 08:16:24+01:00,2026-03-10,4,2,2,4,2,4-2-2-4-2,4,3,27,27
184,2026-03-10 08:16:25+01:00,2026-03-10 08:16:26+01:00,2026-03-10,3,2,2,4,2,3-2-2-4-2,1,3,2,2
185,2026-03-10 08:16:27+01:00,2026-03-10 08:16:27+01:00,2026-03-10,3,2,2,3,2,3-2-2-3-2,1,3,1,1
186,2026-03-10 08:16:28+01:00,2026-03-10 08:16:29+01:00,2026-03-10,2,2,2,3,2,2-2-2-3-2,1,3,2,2
187,2026-03-10 08:16:30+01:00,2026-03-10 08:16:31+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,1,3,2,2
188,2026-03-10 08:16:32+01:00,2026-03-10 08:16:32+01:00,2026-03-10,2,2,2,2,5,2-2-2-2-5,1,3,1,1
189,2026-03-10 08:16:33+01:00,2026-03-10 08:16:43+01:00,2026-03-10,2,2,2,2,4,2-2-2-2-4,1,3,11,11
190,2026-03-10 08:16:44+01:00,2026-03-10 08:16:46+01:00,2026-03-10,2,2,2,2,3,2-2-2-2-3,2,3,3,3
191,2026-03-10 08:16:47+01:00,2026-03-10 08:16:50+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,2,3,4,4
192,2026-03-10 08:16:51+01:00,2026-03-10 08:16:51+01:00,2026-03-10,2,5,5,2,2,2-5-5-2-2,2,3,1,1
193,2026-03-10 08:16:52+01:00,2026-03-10 08:17:11+01:00,2026-03-10,2,4,4,2,2,2-4-4-2-2,2,3,20,20
194,2026-03-10 08:17:12+01:00,2026-03-10 08:17:14+01:00,2026-03-10,2,3,4,2,2,2-3-4-2-2,4,3,3,3
195,2026-03-10 08:17:15+01:00,2026-03-10 08:17:17+01:00,2026-03-10,2,2,3,2,2,2-2-3-2-2,4,3,3,3
