date,timestamp,intersection,detector_id,detector_name,sumo_id,approach,json_start,json_end,intervalMilliseconds,intervalLength,count,occupancy,speed,count_min,count_max,count_avg,count_std,occupancy_min,occupancy_max,occupancy_avg,speed_min,speed_max,speed_avg,count_samples_included,count_samples_expected,count_samples_invalid,occupancy_samples_included,occupancy_samples_expected,occupancy_samples_invalid,speed_samples_included,speed_samples_expected,speed_samples_invalid,confidence,idStr
2026-03-25,2026-03-25 06:00:00+00:00,LD-LSA10,1,VD11,LSA10_W_id1,West,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,91,47,0,91,91,91,0,47,47,47,0,0,0,1,1,0,1,1,0,1,1,0,100,1
2026-03-25,2026-03-25 06:00:00+00:00,LD-LSA10,2,VD25,LSA10_NW_id2,North-West,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,29,27,0,29,29,29,0,27,27,27,0,0,0,1,1,0,1,1,0,1,1,0,100,2
2026-03-25,2026-03-25 06:00:00+00:00,LD-LSA10,3,VD41,LSA10_E_id3,East,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,45,18,0,45,45,45,0,18,18,18,0,0,0,1,1,0,1,1,0,1,1,0,100,3
2026-03-25,2026-03-25 06:00:00+00:00,LD-LSA10,4,VD42,LSA10_E_id4,East,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,24,4,0,24,24,24,0,4,4,4,0,0,0,1,1,0,1,1,0,1,1,0,100,4
2026-03-25,2026-03-25 06:00:00+00:00,LD-LSA10,26,WD23,LSA10_NW_id26,North-West,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,6,29,0,6,6,6,0,29,29,29,0,0,0,1,1,0,1,1,0,1,1,0,100,26
2026-03-25,2026-03-25 06:00:00+00:00,LD-LSA10,27,WD24,LSA10_NW_id27,North-West,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,17,56,0,17,17,17,0,56,56,56,0,0,0,1,1,0,1,1,0,1,1,0,100,27
2026-03-25,2026-03-25 06:00:00+00:00,LD-LSA10,29,WD32,LSA10_NE_id29,North-East,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,8,12,0,8,8,8,0,12,12,12,0,0,0,1,1,0,1,1,0,1,1,0,100,29
2026-03-25,2026-03-25 06:00:00+00:00,LD-LSA10,31,WD52,LSA10_S_id31,South,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,7,29,0,7,7,7,0,29,29,29,0,0,0,1,1,0,1,1,0,1,1,0,100,31
2026-03-25,2026-03-25 06:15:00+00:00,LD-LSA10,1,VD11,LSA10_W_id1,West,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,82,46,0,82,82,82,0,46,46,46,0,0,0,1,1,0,1,1,0,1,1,0,100,1
2026-03-25,2026-03-25 06:15:00+00:00,LD-LSA10,2,VD25,LSA10_NW_id2,North-West,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,27,28,0,27,27,27,0,28,28,28,0,0,0,1,1,0,1,1,0,1,1,0,100,2
2026-03-25,2026-03-25 06:15:00+00:00,LD-LSA10,3,VD41,LSA10_E_id3,East,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,52,24,0,52,52,52,0,24,24,24,0,0,0,1,1,0,1,1,0,1,1,0,100,3
2026-03-25,2026-03-25 06:15:00+00:00,LD-LSA10,4,VD42,LSA10_E_id4,East,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,23,4,0,23,23,23,0,4,4,4,0,0,0,1,1,0,1,1,0,1,1,0,100,4
2026-03-25,2026-03-25 06:15:00+00:00,LD-LSA10,26,WD23,LSA10_NW_id26,North-West,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,5,5,0,5,5,5,0,5,5,5,0,0,0,1,1,0,1,1,0,1,1,0,100,26
2026-03-25,2026-03-25 06:15:00+00:00,LD-LSA10,27,WD24,LSA10_NW_id27,North-West,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,14,65,0,14,14,14,0,65,65,65,0,0,0,1,1,0,1,1,0,1,1,0,100,27
2026-03-25,2026-03-25 06:15:00+00:00,LD-LSA10,29,WD32,LSA10_NE_id29,North-East,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,10,9,0,10,10,10,0,9,9,9,0,0,0,1,1,0,1,1,0,1,1,0,100,29
2026-03-25,2026-03-25 06:15:00+00:00,LD-LSA10,31,WD52,LSA10_S_id31,South,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,13,37,0,13,13,13,0,37,37,37,0,0,0,1,1,0,1,1,0,1,1,0,100,31
2026-03-25,2026-03-25 06:30:00+00:00,LD-LSA10,1,VD11,LSA10_W_id1,West,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,59,66,0,59,59,59,0,66,66,66,0,0,0,1,1,0,1,1,0,1,1,0,100,1
2026-03-25,2026-03-25 06:30:00+00:00,LD-LSA10,2,VD25,LSA10_NW_id2,North-West,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,35,47,0,35,35,35,0,47,47,47,0,0,0,1,1,0,1,1,0,1,1,0,100,2
2026-03-25,2026-03-25 06:30:00+00:00,LD-LSA10,3,VD41,LSA10_E_id3,East,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,54,21,0,54,54,54,0,21,21,21,0,0,0,1,1,0,1,1,0,1,1,0,100,3
2026-03-25,2026-03-25 06:30:00+00:00,LD-LSA10,4,VD42,LSA10_E_id4,East,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,38,12,0,38,38,38,0,12,12,12,0,0,0,1,1,0,1,1,0,1,1,0,100,4
2026-03-25,2026-03-25 06:30:00+00:00,LD-LSA10,26,WD23,LSA10_NW_id26,North-West,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,10,54,0,10,10,10,0,54,54,54,0,0,0,1,1,0,1,1,0,1,1,0,100,26
2026-03-25,2026-03-25 06:30:00+00:00,LD-LSA10,27,WD24,LSA10_NW_id27,North-West,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,13,68,0,13,13,13,0,68,68,68,0,0,0,1,1,0,1,1,0,1,1,0,100,27
2026-03-25,2026-03-25 06:30:00+00:00,LD-LSA10,29,WD32,LSA10_NE_id29,North-East,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,9,13,0,9,9,9,0,13,13,13,0,0,0,1,1,0,1,1,0,1,1,0,100,29
2026-03-25,2026-03-25 06:30:00+00:00,LD-LSA10,31,WD52,LSA10_S_id31,South,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,22,62,0,22,22,22,0,62,62,62,0,0,0,1,1,0,1,1,0,1,1,0,100,31
2026-03-25,2026-03-25 06:45:00+00:00,LD-LSA10,1,VD11,LSA10_W_id1,West,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,54,61,0,54,54,54,0,61,61,61,0,0,0,1,1,0,1,1,0,1,1,0,100,1
2026-03-25,2026-03-25 06:45:00+00:00,LD-LSA10,2,VD25,LSA10_NW_id2,North-West,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,81,66,0,81,81,81,0,66,66,66,0,0,0,1,1,0,1,1,0,1,1,0,100,2
2026-03-25,2026-03-25 06:45:00+00:00,LD-LSA10,3,VD41,LSA10_E_id3,East,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,48,69,0,48,48,48,0,69,69,69,0,0,0,1,1,0,1,1,0,1,1,0,100,3
2026-03-25,2026-03-25 06:45:00+00:00,LD-LSA10,4,VD42,LSA10_E_id4,East,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,51,18,0,51,51,51,0,18,18,18,0,0,0,1,1,0,1,1,0,1,1,0,100,4
2026-03-25,2026-03-25 06:45:00+00:00,LD-LSA10,26,WD23,LSA10_NW_id26,North-West,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,12,51,0,12,12,12,0,51,51,51,0,0,0,1,1,0,1,1,0,1,1,0,100,26
2026-03-25,2026-03-25 06:45:00+00:00,LD-LSA10,27,WD24,LSA10_NW_id27,North-West,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,15,63,0,15,15,15,0,63,63,63,0,0,0,1,1,0,1,1,0,1,1,0,100,27
