timestamp,west_left_upstream,west_straight_right_upstream,west_total_upstream,west_left_stopline,west_straight_right_stopline,west_total_stopline_check,south_straight_failed,south_straight_alt_failed,south_total_failed_check,east_left_upstream,east_straight_upstream,east_straight_right_upstream,east_right_inferred_upstream,east_total_upstream,east_right_stopline,east_straight1_stopline,east_straight2_stopline,east_left_stopline_failed,east_straight_total_stopline_check,east_total_stopline_check,north_left_upstream,north_left_stopline,north_straight_stopline,north_right_stopline,north_straight_right_failed,north_total_mixed,north_total_stopline_check
2025-09-06 09:00:00+00:00,61,118,179,42,123,165,0,0,0,19,100,149,49,168,82,49,81,0,130,212,60,53,10,38,0,108,101
2025-09-06 09:15:00+00:00,45,128,173,34,133,167,0,0,0,27,115,148,33,175,66,50,88,0,138,204,78,72,11,46,0,135,129
2025-09-06 09:30:00+00:00,66,142,208,47,143,190,0,0,0,24,103,149,46,173,68,57,74,0,131,199,63,58,12,40,0,115,110
2025-09-06 09:45:00+00:00,115,133,248,32,128,160,0,0,0,21,114,146,32,167,71,44,81,0,125,196,67,66,16,50,0,133,132
2025-09-06 10:00:00+00:00,79,140,219,44,139,183,0,0,0,27,103,158,55,185,81,55,75,0,130,211,68,65,11,32,0,111,108
2025-09-06 10:15:00+00:00,79,134,213,48,126,174,0,0,0,12,99,146,47,158,82,55,71,0,126,208,65,67,10,44,0,119,121
2025-09-06 10:30:00+00:00,68,136,204,51,139,190,0,0,0,25,109,131,22,156,68,43,86,0,129,197,73,71,10,49,0,132,130
2025-09-06 10:45:00+00:00,75,128,203,41,128,169,0,0,0,33,107,143,36,176,78,50,71,0,121,199,77,69,12,47,0,136,128
2025-09-06 11:00:00+00:00,57,119,176,50,117,167,0,0,0,30,106,136,30,166,55,44,69,0,113,168,70,67,9,51,0,130,127
2025-09-06 11:15:00+00:00,66,130,196,57,126,183,0,0,0,26,79,104,25,130,54,36,59,0,95,149,63,73,14,43,0,120,130
2025-09-06 11:30:00+00:00,87,123,210,54,130,184,0,0,0,20,95,116,21,136,52,46,76,0,122,174,80,72,10,38,0,128,120
2025-09-06 11:45:00+00:00,107,121,228,43,133,176,0,0,0,32,99,146,47,178,71,49,68,0,117,188,76,70,15,36,0,127,121
2025-09-06 12:00:00+00:00,94,146,240,60,144,204,0,0,0,25,114,152,38,177,87,47,91,0,138,225,63,53,14,41,0,118,108
2025-09-06 12:15:00+00:00,88,117,205,58,112,170,0,0,0,27,104,140,36,167,60,49,76,0,125,185,85,71,12,49,0,146,132
2025-09-06 12:30:00+00:00,101,148,249,48,152,200,0,0,0,25,102,148,46,173,81,39,76,0,115,196,92,76,20,33,0,145,129
2025-09-06 12:45:00+00:00,71,142,213,57,126,183,0,0,0,29,99,132,33,161,67,46,66,0,112,179,69,71,20,37,0,126,128
2025-09-06 13:00:00+00:00,83,126,209,51,130,181,0,0,0,27,97,139,42,166,72,52,71,0,123,195,71,53,8,44,0,123,105
2025-09-06 13:15:00+00:00,111,122,233,33,117,150,0,0,0,37,102,131,29,168,60,48,69,0,117,177,70,65,8,46,0,124,119
2025-09-06 13:30:00+00:00,101,123,224,53,133,186,0,0,0,28,95,130,35,158,72,43,68,0,111,183,69,57,15,49,0,133,121
2025-09-06 13:45:00+00:00,88,98,186,41,93,134,0,0,0,13,87,123,36,136,57,40,67,0,107,164,66,61,7,43,0,116,111
2025-09-06 14:00:00+00:00,67,104,171,50,99,149,0,0,0,28,88,127,39,155,55,50,60,0,110,165,60,45,18,42,0,120,105
2025-09-06 14:15:00+00:00,93,101,194,42,94,136,0,0,0,32,93,131,38,163,72,41,63,0,104,176,72,59,10,47,0,129,116
2025-09-06 14:30:00+00:00,84,111,195,37,112,149,0,0,0,19,81,104,23,123,52,34,48,0,82,134,59,47,13,54,0,126,114
2025-09-06 14:45:00+00:00,78,97,175,50,89,139,0,0,0,19,81,100,19,119,45,36,55,0,91,136,73,58,18,46,0,137,122
2025-09-06 15:00:00+00:00,80,114,194,50,115,165,0,0,0,25,82,97,15,122,36,40,53,0,93,129,66,52,10,43,0,119,105
2025-09-06 15:15:00+00:00,79,104,183,48,104,152,0,0,0,28,109,131,22,159,66,34,71,0,105,171,63,54,16,39,0,118,109
2025-09-06 15:30:00+00:00,90,112,202,48,105,153,0,0,0,29,91,129,38,158,60,48,61,0,109,169,74,61,11,41,0,126,113
