intersection,timestamp,detector_id,count,occupancy,velocity
LDLSA16,2025-09-18 17:00:00+00:00,1,45,18,0
LDLSA16,2025-09-18 17:00:00+00:00,2,16,10,0
LDLSA16,2025-09-18 17:00:00+00:00,3,44,45,0
LDLSA16,2025-09-18 17:00:00+00:00,4,9,13,0
LDLSA16,2025-09-18 17:00:00+00:00,5,40,42,0
LDLSA16,2025-09-18 17:00:00+00:00,6,15,4,0
LDLSA16,2025-09-18 17:00:00+00:00,7,30,24,0
LDLSA16,2025-09-18 17:00:00+00:00,8,72,55,0
LDLSA16,2025-09-18 17:00:00+00:00,9,61,61,0
LDLSA16,2025-09-18 17:00:00+00:00,10,56,46,0
LDLSA16,2025-09-18 17:00:00+00:00,11,63,42,0
LDLSA16,2025-09-18 17:00:00+00:00,12,0,0,0
LDLSA16,2025-09-18 17:00:00+00:00,13,97,16,0
LDLSA16,2025-09-18 17:00:00+00:00,14,93,13,0
LDLSA16,2025-09-18 17:00:00+00:00,15,82,22,0
LDLSA16,2025-09-18 17:00:00+00:00,16,1,0,0
LDLSA16,2025-09-18 17:00:00+00:00,17,1,0,0
LDLSA16,2025-09-18 17:00:00+00:00,18,2,0,0
LDLSA16,2025-09-18 17:00:00+00:00,19,9,0,0
LDLSA16,2025-09-18 17:00:00+00:00,20,0,0,0
LDLSA16,2025-09-18 17:00:00+00:00,21,8,0,0
LDLSA16,2025-09-18 17:00:00+00:00,22,0,0,0
LDLSA16,2025-09-18 17:00:00+00:00,23,0,0,0
LDLSA16,2025-09-18 17:00:00+00:00,24,0,100,0
LDLSA16,2025-09-18 17:00:00+00:00,25,0,0,0
LDLSA16,2025-09-18 17:00:00+00:00,26,0,0,0
LDLSA16,2025-09-18 17:00:00+00:00,27,0,0,0
LDLSA16,2025-09-18 17:00:00+00:00,28,0,0,0
LDLSA16,2025-09-18 17:00:00+00:00,29,0,0,0
LDLSA16,2025-09-18 17:00:00+00:00,30,0,0,0
LDLSA16,2025-09-18 17:00:00+00:00,31,2,0,0
LDLSA16,2025-09-18 17:00:00+00:00,32,4,0,0
LDLSA16,2025-09-18 17:00:00+00:00,33,21,8,0
LDLSA16,2025-09-18 17:15:00+00:00,1,57,24,0
LDLSA16,2025-09-18 17:15:00+00:00,2,13,14,0
LDLSA16,2025-09-18 17:15:00+00:00,3,47,57,0
LDLSA16,2025-09-18 17:15:00+00:00,4,8,31,0
LDLSA16,2025-09-18 17:15:00+00:00,5,40,50,0
LDLSA16,2025-09-18 17:15:00+00:00,6,13,4,0
LDLSA16,2025-09-18 17:15:00+00:00,7,23,23,0
LDLSA16,2025-09-18 17:15:00+00:00,8,61,27,0
LDLSA16,2025-09-18 17:15:00+00:00,9,38,24,0
LDLSA16,2025-09-18 17:15:00+00:00,10,45,22,0
LDLSA16,2025-09-18 17:15:00+00:00,11,42,22,0
LDLSA16,2025-09-18 17:15:00+00:00,12,0,0,0
LDLSA16,2025-09-18 17:15:00+00:00,13,113,26,0
LDLSA16,2025-09-18 17:15:00+00:00,14,57,10,0
LDLSA16,2025-09-18 17:15:00+00:00,15,81,11,0
LDLSA16,2025-09-18 17:15:00+00:00,16,0,0,0
LDLSA16,2025-09-18 17:15:00+00:00,17,1,0,0
LDLSA16,2025-09-18 17:15:00+00:00,18,0,0,0
LDLSA16,2025-09-18 17:15:00+00:00,19,0,0,0
LDLSA16,2025-09-18 17:15:00+00:00,20,2,0,0
LDLSA16,2025-09-18 17:15:00+00:00,21,11,0,0
LDLSA16,2025-09-18 17:15:00+00:00,22,0,0,0
LDLSA16,2025-09-18 17:15:00+00:00,23,0,0,0
LDLSA16,2025-09-18 17:15:00+00:00,24,0,100,0
LDLSA16,2025-09-18 17:15:00+00:00,25,0,0,0
LDLSA16,2025-09-18 17:15:00+00:00,26,0,0,0
LDLSA16,2025-09-18 17:15:00+00:00,27,0,0,0
LDLSA16,2025-09-18 17:15:00+00:00,28,0,0,0
LDLSA16,2025-09-18 17:15:00+00:00,29,0,0,0
LDLSA16,2025-09-18 17:15:00+00:00,30,0,0,0
LDLSA16,2025-09-18 17:15:00+00:00,31,0,0,0
LDLSA16,2025-09-18 17:15:00+00:00,32,0,0,0
LDLSA16,2025-09-18 17:15:00+00:00,33,23,12,0
LDLSA16,2025-09-18 17:30:00+00:00,1,39,29,0
LDLSA16,2025-09-18 17:30:00+00:00,2,26,11,0
LDLSA16,2025-09-18 17:30:00+00:00,3,39,52,0
LDLSA16,2025-09-18 17:30:00+00:00,4,9,14,0
LDLSA16,2025-09-18 17:30:00+00:00,5,40,34,0
LDLSA16,2025-09-18 17:30:00+00:00,6,6,1,0
LDLSA16,2025-09-18 17:30:00+00:00,7,32,30,0
LDLSA16,2025-09-18 17:30:00+00:00,8,60,31,0
LDLSA16,2025-09-18 17:30:00+00:00,9,41,30,0
LDLSA16,2025-09-18 17:30:00+00:00,10,60,27,0
LDLSA16,2025-09-18 17:30:00+00:00,11,40,21,0
LDLSA16,2025-09-18 17:30:00+00:00,12,0,0,0
LDLSA16,2025-09-18 17:30:00+00:00,13,85,17,0
LDLSA16,2025-09-18 17:30:00+00:00,14,71,8,0
LDLSA16,2025-09-18 17:30:00+00:00,15,70,10,0
LDLSA16,2025-09-18 17:30:00+00:00,16,1,0,0
LDLSA16,2025-09-18 17:30:00+00:00,17,0,0,0
LDLSA16,2025-09-18 17:30:00+00:00,18,0,0,0
LDLSA16,2025-09-18 17:30:00+00:00,19,3,0,0
LDLSA16,2025-09-18 17:30:00+00:00,20,0,0,0
LDLSA16,2025-09-18 17:30:00+00:00,21,1,0,0
LDLSA16,2025-09-18 17:30:00+00:00,22,0,0,0
LDLSA16,2025-09-18 17:30:00+00:00,23,0,0,0
LDLSA16,2025-09-18 17:30:00+00:00,24,0,100,0
LDLSA16,2025-09-18 17:30:00+00:00,25,0,0,0
LDLSA16,2025-09-18 17:30:00+00:00,26,0,0,0
LDLSA16,2025-09-18 17:30:00+00:00,27,0,0,0
LDLSA16,2025-09-18 17:30:00+00:00,28,0,0,0
LDLSA16,2025-09-18 17:30:00+00:00,29,0,0,0
LDLSA16,2025-09-18 17:30:00+00:00,30,0,0,0
LDLSA16,2025-09-18 17:30:00+00:00,31,1,0,0
LDLSA16,2025-09-18 17:30:00+00:00,32,0,0,0
LDLSA16,2025-09-18 17:30:00+00:00,33,29,11,0
LDLSA16,2025-09-18 17:45:00+00:00,1,41,10,0
LDLSA16,2025-09-18 17:45:00+00:00,2,10,2,0
LDLSA16,2025-09-18 17:45:00+00:00,3,21,44,0
LDLSA16,2025-09-18 17:45:00+00:00,4,7,39,0
LDLSA16,2025-09-18 17:45:00+00:00,5,22,34,0
LDLSA16,2025-09-18 17:45:00+00:00,6,7,10,0
LDLSA16,2025-09-18 17:45:00+00:00,7,22,19,0
LDLSA16,2025-09-18 17:45:00+00:00,8,59,46,0
LDLSA16,2025-09-18 17:45:00+00:00,9,37,33,0
LDLSA16,2025-09-18 17:45:00+00:00,10,41,36,0
LDLSA16,2025-09-18 17:45:00+00:00,11,36,21,0
LDLSA16,2025-09-18 17:45:00+00:00,12,0,0,0
LDLSA16,2025-09-18 17:45:00+00:00,13,77,15,0
LDLSA16,2025-09-18 17:45:00+00:00,14,57,8,0
LDLSA16,2025-09-18 17:45:00+00:00,15,74,29,0
LDLSA16,2025-09-18 17:45:00+00:00,16,0,0,0
LDLSA16,2025-09-18 17:45:00+00:00,17,1,0,0
LDLSA16,2025-09-18 17:45:00+00:00,18,0,0,0
LDLSA16,2025-09-18 17:45:00+00:00,19,0,0,0
LDLSA16,2025-09-18 17:45:00+00:00,20,0,0,0
LDLSA16,2025-09-18 17:45:00+00:00,21,0,0,0
LDLSA16,2025-09-18 17:45:00+00:00,22,0,0,0
LDLSA16,2025-09-18 17:45:00+00:00,23,0,0,0
LDLSA16,2025-09-18 17:45:00+00:00,24,0,100,0
LDLSA16,2025-09-18 17:45:00+00:00,25,0,0,0
LDLSA16,2025-09-18 17:45:00+00:00,26,0,0,0
LDLSA16,2025-09-18 17:45:00+00:00,27,0,0,0
LDLSA16,2025-09-18 17:45:00+00:00,28,0,0,0
LDLSA16,2025-09-18 17:45:00+00:00,29,0,0,0
LDLSA16,2025-09-18 17:45:00+00:00,30,0,0,0
LDLSA16,2025-09-18 17:45:00+00:00,31,3,0,0
LDLSA16,2025-09-18 17:45:00+00:00,32,2,0,0
LDLSA16,2025-09-18 17:45:00+00:00,33,24,12,0
LDLSA16,2025-09-18 18:00:00+00:00,1,46,13,0
LDLSA16,2025-09-18 18:00:00+00:00,2,21,6,0
LDLSA16,2025-09-18 18:00:00+00:00,3,41,53,0
LDLSA16,2025-09-18 18:00:00+00:00,4,5,23,0
LDLSA16,2025-09-18 18:00:00+00:00,5,38,35,0
LDLSA16,2025-09-18 18:00:00+00:00,6,11,2,0
LDLSA16,2025-09-18 18:00:00+00:00,7,21,23,0
LDLSA16,2025-09-18 18:00:00+00:00,8,58,21,0
LDLSA16,2025-09-18 18:00:00+00:00,9,25,16,0
LDLSA16,2025-09-18 18:00:00+00:00,10,47,22,0
LDLSA16,2025-09-18 18:00:00+00:00,11,27,5,0
LDLSA16,2025-09-18 18:00:00+00:00,12,0,0,0
LDLSA16,2025-09-18 18:00:00+00:00,13,89,19,0
LDLSA16,2025-09-18 18:00:00+00:00,14,57,7,0
LDLSA16,2025-09-18 18:00:00+00:00,15,68,10,0
LDLSA16,2025-09-18 18:00:00+00:00,16,1,0,0
LDLSA16,2025-09-18 18:00:00+00:00,17,0,0,0
LDLSA16,2025-09-18 18:00:00+00:00,18,0,0,0
LDLSA16,2025-09-18 18:00:00+00:00,19,0,0,0
LDLSA16,2025-09-18 18:00:00+00:00,20,0,0,0
LDLSA16,2025-09-18 18:00:00+00:00,21,12,0,0
LDLSA16,2025-09-18 18:00:00+00:00,22,0,0,0
LDLSA16,2025-09-18 18:00:00+00:00,23,0,0,0
LDLSA16,2025-09-18 18:00:00+00:00,24,0,100,0
LDLSA16,2025-09-18 18:00:00+00:00,25,0,0,0
LDLSA16,2025-09-18 18:00:00+00:00,26,0,0,0
LDLSA16,2025-09-18 18:00:00+00:00,27,0,0,0
LDLSA16,2025-09-18 18:00:00+00:00,28,0,0,0
LDLSA16,2025-09-18 18:00:00+00:00,29,0,0,0
LDLSA16,2025-09-18 18:00:00+00:00,30,0,0,0
LDLSA16,2025-09-18 18:00:00+00:00,31,1,0,0
LDLSA16,2025-09-18 18:00:00+00:00,32,0,0,0
LDLSA16,2025-09-18 18:00:00+00:00,33,16,5,0
LDLSA16,2025-09-18 18:15:00+00:00,1,34,14,0
LDLSA16,2025-09-18 18:15:00+00:00,2,22,5,0
LDLSA16,2025-09-18 18:15:00+00:00,3,37,41,0
LDLSA16,2025-09-18 18:15:00+00:00,4,7,9,0
LDLSA16,2025-09-18 18:15:00+00:00,5,32,25,0
LDLSA16,2025-09-18 18:15:00+00:00,6,15,6,0
LDLSA16,2025-09-18 18:15:00+00:00,7,25,20,0
LDLSA16,2025-09-18 18:15:00+00:00,8,46,28,0
LDLSA16,2025-09-18 18:15:00+00:00,9,28,23,0
LDLSA16,2025-09-18 18:15:00+00:00,10,41,15,0
LDLSA16,2025-09-18 18:15:00+00:00,11,26,8,0
LDLSA16,2025-09-18 18:15:00+00:00,12,0,0,0
LDLSA16,2025-09-18 18:15:00+00:00,13,77,12,0
LDLSA16,2025-09-18 18:15:00+00:00,14,53,7,0
LDLSA16,2025-09-18 18:15:00+00:00,15,65,11,0
LDLSA16,2025-09-18 18:15:00+00:00,16,1,0,0
LDLSA16,2025-09-18 18:15:00+00:00,17,0,0,0
LDLSA16,2025-09-18 18:15:00+00:00,18,1,0,0
LDLSA16,2025-09-18 18:15:00+00:00,19,0,0,0
LDLSA16,2025-09-18 18:15:00+00:00,20,0,0,0
LDLSA16,2025-09-18 18:15:00+00:00,21,4,0,0
LDLSA16,2025-09-18 18:15:00+00:00,22,0,0,0
LDLSA16,2025-09-18 18:15:00+00:00,23,0,0,0
LDLSA16,2025-09-18 18:15:00+00:00,24,0,100,0
LDLSA16,2025-09-18 18:15:00+00:00,25,0,0,0
LDLSA16,2025-09-18 18:15:00+00:00,26,0,0,0
LDLSA16,2025-09-18 18:15:00+00:00,27,0,0,0
LDLSA16,2025-09-18 18:15:00+00:00,28,0,0,0
LDLSA16,2025-09-18 18:15:00+00:00,29,0,0,0
LDLSA16,2025-09-18 18:15:00+00:00,30,0,0,0
LDLSA16,2025-09-18 18:15:00+00:00,31,1,0,0
LDLSA16,2025-09-18 18:15:00+00:00,32,1,0,0
LDLSA16,2025-09-18 18:15:00+00:00,33,23,10,0
