timestamp,west_left,west_straight,west_right,west_total,east_total,north_total,south_total,corridor_out
2025-09-06 00:15:00+00:00,4,4,0,8,15,9,17,13
2025-09-06 00:30:00+00:00,3,2,0,5,12,2,19,12
2025-09-06 00:45:00+00:00,5,4,2,11,7,5,7,12
2025-09-06 01:00:00+00:00,1,4,3,8,5,5,9,13
2025-09-06 01:15:00+00:00,0,5,1,6,6,9,14,7
2025-09-06 01:30:00+00:00,0,1,0,1,2,9,6,1
2025-09-06 01:45:00+00:00,1,1,0,2,7,1,9,4
2025-09-06 02:00:00+00:00,0,1,0,1,4,2,10,4
2025-09-06 02:15:00+00:00,3,2,0,5,5,5,10,2
2025-09-06 02:30:00+00:00,2,4,1,7,5,5,9,6
2025-09-06 02:45:00+00:00,0,2,0,2,4,3,5,6
2025-09-06 03:00:00+00:00,1,5,0,6,12,4,13,12
2025-09-06 03:15:00+00:00,2,5,0,7,8,1,11,11
2025-09-06 03:30:00+00:00,1,7,1,9,17,7,23,20
2025-09-06 03:45:00+00:00,2,4,3,9,20,5,19,13
2025-09-06 04:00:00+00:00,2,8,5,15,10,5,15,17
2025-09-06 04:15:00+00:00,2,10,0,12,11,6,21,20
2025-09-06 04:30:00+00:00,0,12,0,12,21,6,15,19
2025-09-06 04:45:00+00:00,2,18,0,20,9,10,23,29
2025-09-06 05:00:00+00:00,3,15,1,19,23,14,39,39
2025-09-06 05:15:00+00:00,3,16,5,24,23,13,35,34
2025-09-06 05:30:00+00:00,3,13,9,25,31,11,45,44
2025-09-06 05:45:00+00:00,3,19,53,75,43,14,50,50
2025-09-06 06:00:00+00:00,8,20,3,31,41,17,50,48
2025-09-06 06:15:00+00:00,5,39,0,44,47,24,58,71
2025-09-06 06:30:00+00:00,5,30,4,39,48,25,55,64
2025-09-06 06:45:00+00:00,9,64,3,76,70,24,88,105
2025-09-06 07:00:00+00:00,5,55,3,63,84,25,89,103
2025-09-06 07:15:00+00:00,7,66,0,73,58,17,86,114
2025-09-06 07:30:00+00:00,13,63,0,76,89,42,91,101
2025-09-06 07:45:00+00:00,13,68,0,81,93,31,108,121
2025-09-06 08:00:00+00:00,9,77,0,86,110,36,100,118
2025-09-06 08:15:00+00:00,8,72,0,80,106,32,104,133
2025-09-06 08:30:00+00:00,8,81,0,89,110,34,104,136
2025-09-06 08:45:00+00:00,6,73,0,79,116,40,96,125
2025-09-06 09:00:00+00:00,13,72,0,85,155,49,115,133
2025-09-06 09:15:00+00:00,6,75,0,81,134,35,99,128
