scenario,lsa,approach,signal_group,analysis_begin_s,analysis_end_s,bin_no,bin_label,sim_count_15min,sim_flow_mean,sim_occupancy_mean,n_detectors_used,sim_count_hourly_equivalent
weekday_morning,LSA1,east,K4,2700.0,3600.0,4,45-60,109.0,218.0,37.8,2,436.0
weekday_morning,LSA1,east,K5,0.0,900.0,1,00-15,40.0,160.0,3.59,1,160.0
weekday_morning,LSA1,east,K5,900.0,1800.0,2,15-30,33.0,132.0,11.17,1,132.0
weekday_morning,LSA1,east,K5,1800.0,2700.0,3,30-45,42.0,168.0,28.56,1,168.0
weekday_morning,LSA1,east,K5,2700.0,3600.0,4,45-60,39.0,156.0,60.42,1,156.0
weekday_morning,LSA1,east,K6,0.0,900.0,1,00-15,78.0,312.0,11.87,1,312.0
weekday_morning,LSA1,east,K6,900.0,1800.0,2,15-30,70.0,280.0,8.19,1,280.0
weekday_morning,LSA1,east,K6,1800.0,2700.0,3,30-45,71.0,284.0,15.16,1,284.0
weekday_morning,LSA1,east,K6,2700.0,3600.0,4,45-60,72.0,288.0,9.93,1,288.0
weekday_morning,LSA1,north,K7,0.0,900.0,1,00-15,84.0,170.0,43.875,2,336.0
weekday_morning,LSA1,north,K7,900.0,1800.0,2,15-30,88.0,176.0,40.56,2,352.0
weekday_morning,LSA1,north,K7,1800.0,2700.0,3,30-45,82.0,164.0,46.745000000000005,2,328.0
weekday_morning,LSA1,north,K7,2700.0,3600.0,4,45-60,87.0,174.0,43.705,2,348.0
weekday_morning,LSA1,north,K8,0.0,900.0,1,00-15,22.0,84.0,22.81,1,88.0
weekday_morning,LSA1,north,K8,900.0,1800.0,2,15-30,33.0,136.0,28.18,1,132.0
weekday_morning,LSA1,north,K8,1800.0,2700.0,3,30-45,38.0,152.0,33.06,1,152.0
weekday_morning,LSA1,north,K8,2700.0,3600.0,4,45-60,29.0,116.0,26.06,1,116.0
weekday_morning,LSA1,south,K3,0.0,900.0,1,00-15,0.0,0.0,0.0,1,0.0
weekday_morning,LSA1,south,K3,900.0,1800.0,2,15-30,0.0,0.0,0.0,1,0.0
weekday_morning,LSA1,south,K3,1800.0,2700.0,3,30-45,0.0,0.0,0.0,1,0.0
weekday_morning,LSA1,south,K3,2700.0,3600.0,4,45-60,0.0,0.0,0.0,1,0.0
weekday_morning,LSA1,west,K1,0.0,900.0,1,00-15,47.0,188.0,79.65,1,188.0
weekday_morning,LSA1,west,K1,900.0,1800.0,2,15-30,50.0,204.0,90.43,1,200.0
weekday_morning,LSA1,west,K1,1800.0,2700.0,3,30-45,39.0,152.0,75.68,1,156.0
weekday_morning,LSA1,west,K1,2700.0,3600.0,4,45-60,42.0,172.0,65.51,1,168.0
weekday_morning,LSA1,west,K2,0.0,900.0,1,00-15,80.0,320.0,47.49,1,320.0
weekday_morning,LSA1,west,K2,900.0,1800.0,2,15-30,75.0,300.0,41.4,1,300.0
weekday_morning,LSA1,west,K2,1800.0,2700.0,3,30-45,80.0,320.0,43.94,1,320.0
weekday_morning,LSA1,west,K2,2700.0,3600.0,4,45-60,77.0,308.0,40.3,1,308.0
weekday_morning,LSA10,east,K4,0.0,900.0,1,00-15,76.0,146.0,2.3099999999999996,2,304.0
weekday_morning,LSA10,east,K4,900.0,1800.0,2,15-30,95.0,190.0,6.8950000000000005,2,380.0
weekday_morning,LSA10,east,K4,1800.0,2700.0,3,30-45,102.0,204.0,7.175000000000001,2,408.0
weekday_morning,LSA10,east,K4,2700.0,3600.0,4,45-60,90.0,180.0,7.76,2,360.0
weekday_morning,LSA10,north_east,K3,0.0,900.0,1,00-15,7.0,28.0,0.9,1,28.0
weekday_morning,LSA10,north_east,K3,900.0,1800.0,2,15-30,7.0,28.0,4.73,1,28.0
weekday_morning,LSA10,north_east,K3,1800.0,2700.0,3,30-45,7.0,28.0,8.19,1,28.0
weekday_morning,LSA10,north_east,K3,2700.0,3600.0,4,45-60,11.0,44.0,7.84,1,44.0
weekday_morning,LSA10,north_west,K2,0.0,900.0,1,00-15,23.0,46.0,7.3,2,92.0
weekday_morning,LSA10,north_west,K2,900.0,1800.0,2,15-30,28.0,56.0,11.99,2,112.0
weekday_morning,LSA10,north_west,K2,1800.0,2700.0,3,30-45,30.0,60.0,10.065000000000001,2,120.0
weekday_morning,LSA10,north_west,K2,2700.0,3600.0,4,45-60,13.0,26.0,2.035,2,52.0
weekday_morning,LSA10,south,K5,0.0,900.0,1,00-15,18.0,72.0,17.17,1,72.0
weekday_morning,LSA10,south,K5,900.0,1800.0,2,15-30,8.0,32.0,0.86,1,32.0
weekday_morning,LSA10,south,K5,1800.0,2700.0,3,30-45,10.0,40.0,13.06,1,40.0
weekday_morning,LSA10,south,K5,2700.0,3600.0,4,45-60,15.0,60.0,9.04,1,60.0
