scenario,lsa,approach,signal_group,analysis_begin_s,analysis_end_s,bin_no,bin_label,sim_count_15min,sim_flow_mean,sim_occupancy_mean,n_detectors_used,sim_count_hourly_equivalent,cycle_time_s,green_time_s,green_share,demand_vph,capacity_vph,v_c_ratio,status,comparison_note
weekday_evening,LSA16,west,K2,1800.0,2700.0,3,30-45,75.0,146.0,46.015,2,300.0,86.0,24.0,0.2790697674418604,300.0,502.3255813953487,0.5972222222222224,below capacity,usable for simulation saturation comparison
weekday_evening,LSA16,west,K2,2700.0,3600.0,4,45-60,54.0,110.0,62.815,2,216.0,86.0,24.0,0.2790697674418604,216.0,502.3255813953487,0.4300000000000001,below capacity,usable for simulation saturation comparison
weekday_evening,LSA9,east,K3,0.0,900.0,1,00-15,136.0,262.0,17.935,2,544.0,137.0,40.0,0.291970802919708,544.0,525.5474452554744,1.0351111111111113,over capacity,usable for simulation saturation comparison
weekday_evening,LSA9,east,K3,900.0,1800.0,2,15-30,126.0,246.0,11.495,2,504.0,137.0,40.0,0.291970802919708,504.0,525.5474452554744,0.9590000000000002,near capacity,usable for simulation saturation comparison
weekday_evening,LSA9,east,K3,1800.0,2700.0,3,30-45,108.0,206.0,15.420000000000002,2,432.0,137.0,40.0,0.291970802919708,432.0,525.5474452554744,0.8220000000000002,below capacity,usable for simulation saturation comparison
weekday_evening,LSA9,east,K3,2700.0,3600.0,4,45-60,135.0,262.0,17.73,2,540.0,137.0,40.0,0.291970802919708,540.0,525.5474452554744,1.0275,over capacity,usable for simulation saturation comparison
weekday_evening,LSA9,north_west,K2,0.0,900.0,1,00-15,33.0,64.0,35.83,2,132.0,137.0,23.0,0.1678832116788321,132.0,302.1897810218978,0.4368115942028986,below capacity,usable for simulation saturation comparison
weekday_evening,LSA9,north_west,K2,900.0,1800.0,2,15-30,43.0,82.0,51.71,2,172.0,137.0,23.0,0.1678832116788321,172.0,302.1897810218978,0.5691787439613527,below capacity,usable for simulation saturation comparison
weekday_evening,LSA9,north_west,K2,1800.0,2700.0,3,30-45,46.0,94.0,43.870000000000005,2,184.0,137.0,23.0,0.1678832116788321,184.0,302.1897810218978,0.6088888888888889,below capacity,usable for simulation saturation comparison
weekday_evening,LSA9,north_west,K2,2700.0,3600.0,4,45-60,35.0,70.0,35.17,2,140.0,137.0,23.0,0.1678832116788321,140.0,302.1897810218978,0.46328502415458944,below capacity,usable for simulation saturation comparison
weekday_evening,LSA9,south,K4,0.0,900.0,1,00-15,11.0,44.0,25.65,1,44.0,137.0,25.0,0.1824817518248175,44.0,328.4671532846715,0.13395555555555558,below capacity,usable for simulation saturation comparison
weekday_evening,LSA9,south,K4,900.0,1800.0,2,15-30,11.0,48.0,29.81,1,44.0,137.0,25.0,0.1824817518248175,44.0,328.4671532846715,0.13395555555555558,below capacity,usable for simulation saturation comparison
weekday_evening,LSA9,south,K4,1800.0,2700.0,3,30-45,14.0,56.0,41.03,1,56.0,137.0,25.0,0.1824817518248175,56.0,328.4671532846715,0.1704888888888889,below capacity,usable for simulation saturation comparison
