scenario,lsa,approach,signal_group,total_sim_count_1h,mean_15min_count,max_15min_count,mean_demand_vph,max_demand_vph,cycle_time_s,green_time_s,green_share,capacity_vph,mean_v_c_ratio,max_v_c_ratio,n_bins,n_detectors_used,mean_status,max_status,comparison_note
weekend_evening,LSA16,west,K2,269.0,67.25,80.0,269.0,320.0,86.0,25.0,0.2906976744186046,523.2558139534883,0.5140888888888889,0.6115555555555556,4,2,below capacity,below capacity,usable for simulation saturation comparison
weekend_evening,LSA9,east,K3,522.0,130.5,143.0,522.0,572.0,165.0,86.0,0.5212121212121212,938.1818181818182,0.5563953488372093,0.6096899224806202,4,2,below capacity,below capacity,usable for simulation saturation comparison
weekend_evening,LSA9,north_west,K2,96.0,24.0,29.0,96.0,116.0,165.0,32.0,0.1939393939393939,349.09090909090907,0.275,0.3322916666666667,4,2,below capacity,below capacity,usable for simulation saturation comparison
weekend_evening,LSA9,south,K4,24.0,6.0,8.0,24.0,32.0,165.0,9.0,0.0545454545454545,98.1818181818181,0.2444444444444446,0.3259259259259262,4,1,below capacity,below capacity,usable for simulation saturation comparison
weekend_evening,LSA9,west,K1,598.0,149.5,168.0,598.0,672.0,165.0,82.0,0.4969696969696969,894.5454545454544,0.6684959349593497,0.7512195121951221,4,2,below capacity,below capacity,usable for simulation saturation comparison
weekend_morning,LSA1,east,K4,276.0,69.0,77.0,276.0,308.0,82.0,30.0,0.3658536585365853,658.5365853658535,0.41911111111111116,0.4677037037037038,4,2,below capacity,below capacity,simulation-side only; no direct real saturation comparison
weekend_morning,LSA1,east,K5,69.0,17.25,22.0,69.0,88.0,82.0,5.0,0.0609756097560975,109.75609756097548,0.6286666666666674,0.8017777777777787,4,1,below capacity,below capacity,simulation-side only; no direct real saturation comparison
weekend_morning,LSA1,east,K6,211.0,52.75,58.0,211.0,232.0,82.0,59.0,0.7195121951219512,1295.121951219512,0.16291902071563086,0.1791337099811676,4,1,below capacity,below capacity,simulation-side only; no direct real saturation comparison
weekend_morning,LSA1,north,K7,212.0,53.0,59.0,212.0,236.0,82.0,29.0,0.3536585365853658,636.5853658536585,0.33302681992337163,0.370727969348659,4,2,below capacity,below capacity,simulation-side only; no direct real saturation comparison
weekend_morning,LSA1,north,K8,136.0,34.0,37.0,136.0,148.0,82.0,34.0,0.4146341463414634,746.3414634146341,0.1822222222222222,0.1983006535947712,4,1,below capacity,below capacity,simulation-side only; no direct real saturation comparison
