scenario,lsa,detector_id_sumo,detector_id_real,begin_s,end_s,nVehEntered,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,analysis_begin_s,analysis_end_s,bin_no,bin_label,approach,movement,signal_group
weekday_morning,LSA9,LSA9_W_id2,2,1800.0,2700.0,71.0,72.0,288.0,57.26,7.43,0.71,900.0,1800.0,2,15-30,west,straight_left,K1
weekday_morning,LSA10,LSA10_E_id3,3,2700.0,3600.0,41.0,41.0,164.0,4.19,9.94,5.54,1800.0,2700.0,3,30-45,east,straight_right,K4
weekday_morning,LSA10,LSA10_E_id4,4,2700.0,3600.0,61.0,61.0,244.0,10.16,11.15,3.09,1800.0,2700.0,3,30-45,east,straight,K4
weekday_morning,LSA10,LSA10_NE_id29,29,2700.0,3600.0,7.0,7.0,28.0,8.19,6.12,0.9,1800.0,2700.0,3,30-45,north_east,right,K3
weekday_morning,LSA10,LSA10_NW_id26,26,2700.0,3600.0,13.0,13.0,52.0,12.39,4.46,0.54,1800.0,2700.0,3,30-45,north_west,straight_right,K2
weekday_morning,LSA10,LSA10_NW_id27,27,2700.0,3600.0,17.0,17.0,68.0,7.74,6.47,1.1,1800.0,2700.0,3,30-45,north_west,left,K2
weekday_morning,LSA10,LSA10_S_id31,31,2700.0,3600.0,10.0,10.0,40.0,13.06,3.85,0.39,1800.0,2700.0,3,30-45,south,multi_movement,K5
weekday_morning,LSA10,LSA10_W_id1,1,2700.0,3600.0,103.0,103.0,412.0,18.29,9.83,3.15,1800.0,2700.0,3,30-45,west,straight_right,K1
weekday_morning,LSA16,LSA16_E_id10,10,2700.0,3600.0,48.0,48.0,192.0,10.76,8.43,2.31,1800.0,2700.0,3,30-45,east,straight_right,K4
weekday_morning,LSA16,LSA16_E_id11,11,2700.0,3600.0,67.0,67.0,268.0,23.43,7.83,1.47,1800.0,2700.0,3,30-45,east,left,K4
weekday_morning,LSA16,LSA16_N_id6,6,2700.0,3600.0,24.0,24.0,96.0,1.26,11.45,10.61,1800.0,2700.0,3,30-45,north,right,K3
weekday_morning,LSA16,LSA16_N_id7,7,2700.0,3600.0,25.0,25.0,100.0,1.13,12.75,12.48,1800.0,2700.0,3,30-45,north,straight,K3
weekday_morning,LSA16,LSA16_S_id1,1,2700.0,3600.0,36.0,36.0,144.0,8.38,9.28,2.19,1800.0,2700.0,3,30-45,south,right,K1
weekday_morning,LSA16,LSA16_S_id2,2,2700.0,3600.0,32.0,32.0,128.0,1.5,11.96,11.17,1800.0,2700.0,3,30-45,south,straight,K1
weekday_morning,LSA16,LSA16_S_id33,33,2700.0,3600.0,19.0,19.0,76.0,1.95,11.04,5.51,1800.0,2700.0,3,30-45,south,straight,K1
weekday_morning,LSA16,LSA16_W_id3,3,2700.0,3600.0,72.0,73.0,292.0,61.89,7.97,0.61,1800.0,2700.0,3,30-45,west,straight,K2
weekday_morning,LSA16,LSA16_W_id4,4,2700.0,3600.0,9.0,10.0,40.0,19.36,4.55,0.26,1800.0,2700.0,3,30-45,west,left,K2
weekday_morning,LSA1,LSA1_E_id13,13,2700.0,3600.0,54.0,53.0,212.0,45.21,8.25,0.67,1800.0,2700.0,3,30-45,east,straight_right,K4
weekday_morning,LSA1,LSA1_E_id23,23,2700.0,3600.0,48.0,48.0,192.0,33.35,6.82,0.76,1800.0,2700.0,3,30-45,east,straight,K4
weekday_morning,LSA1,LSA1_E_id26,26,2700.0,3600.0,42.0,42.0,168.0,28.56,5.8,0.79,1800.0,2700.0,3,30-45,east,left,K5
weekday_morning,LSA1,LSA1_E_id27,27,2700.0,3600.0,71.0,71.0,284.0,15.16,9.26,2.78,1800.0,2700.0,3,30-45,east,right,K6
weekday_morning,LSA1,LSA1_N_id28,28,2700.0,3600.0,19.0,19.0,76.0,30.85,5.47,0.33,1800.0,2700.0,3,30-45,north,straight,K7
weekday_morning,LSA1,LSA1_N_id30,30,2700.0,3600.0,63.0,63.0,252.0,62.64,7.2,0.55,1800.0,2700.0,3,30-45,north,left,K7
weekday_morning,LSA1,LSA1_N_id40,40,2700.0,3600.0,38.0,38.0,152.0,33.06,8.3,0.58,1800.0,2700.0,3,30-45,north,right,K8
weekday_morning,LSA1,LSA1_S_id11,11,2700.0,3600.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1800.0,2700.0,3,30-45,south,straight_faulty,K3
weekday_morning,LSA1,LSA1_W_id7,7,2700.0,3600.0,39.0,38.0,152.0,75.68,5.25,0.26,1800.0,2700.0,3,30-45,west,left,K1
weekday_morning,LSA1,LSA1_W_id9,9,2700.0,3600.0,80.0,80.0,320.0,43.94,8.15,0.99,1800.0,2700.0,3,30-45,west,straight_right,K2
weekday_morning,LSA9,LSA9_E_id8,8,2700.0,3600.0,80.0,78.0,312.0,31.88,8.13,1.36,1800.0,2700.0,3,30-45,east,straight_right,K3
weekday_morning,LSA9,LSA9_E_id9,9,2700.0,3600.0,53.0,53.0,212.0,9.95,7.92,3.19,1800.0,2700.0,3,30-45,east,straight,K3
weekday_morning,LSA9,LSA9_S_id10,10,2700.0,3600.0,2.0,2.0,8.0,9.88,2.29,0.1,1800.0,2700.0,3,30-45,south,multi_movement,K4
weekday_morning,LSA9,LSA9_WE_id4,4,2700.0,3600.0,10.0,10.0,40.0,26.24,3.88,0.19,1800.0,2700.0,3,30-45,north_west,straight_right,K2
weekday_morning,LSA9,LSA9_WE_id5,5,2700.0,3600.0,17.0,17.0,68.0,37.19,5.53,0.25,1800.0,2700.0,3,30-45,north_west,movement,K2
weekday_morning,LSA9,LSA9_W_id1,1,2700.0,3600.0,62.0,63.0,252.0,8.85,10.97,3.59,1800.0,2700.0,3,30-45,west,straight_right,K1
weekday_morning,LSA9,LSA9_W_id2,2,2700.0,3600.0,66.0,62.0,248.0,43.26,8.27,1.05,1800.0,2700.0,3,30-45,west,straight_left,K1
weekday_morning,LSA10,LSA10_E_id3,3,3600.0,4500.0,45.0,45.0,180.0,11.69,9.68,1.98,2700.0,3600.0,4,45-60,east,straight_right,K4
weekday_morning,LSA10,LSA10_E_id4,4,3600.0,4500.0,45.0,45.0,180.0,3.83,11.51,6.27,2700.0,3600.0,4,45-60,east,straight,K4
weekday_morning,LSA10,LSA10_NE_id29,29,3600.0,4500.0,11.0,11.0,44.0,7.84,4.27,0.7,2700.0,3600.0,4,45-60,north_east,right,K3
weekday_morning,LSA10,LSA10_NW_id26,26,3600.0,4500.0,4.0,4.0,16.0,0.66,4.85,4.47,2700.0,3600.0,4,45-60,north_west,straight_right,K2
weekday_morning,LSA10,LSA10_NW_id27,27,3600.0,4500.0,9.0,9.0,36.0,3.41,5.89,1.37,2700.0,3600.0,4,45-60,north_west,left,K2
weekday_morning,LSA10,LSA10_S_id31,31,3600.0,4500.0,15.0,15.0,60.0,9.04,4.91,0.84,2700.0,3600.0,4,45-60,south,multi_movement,K5
weekday_morning,LSA10,LSA10_W_id1,1,3600.0,4500.0,108.0,108.0,432.0,10.11,10.17,5.73,2700.0,3600.0,4,45-60,west,straight_right,K1
weekday_morning,LSA16,LSA16_E_id10,10,3600.0,4500.0,54.0,54.0,216.0,15.88,8.59,1.71,2700.0,3600.0,4,45-60,east,straight_right,K4
weekday_morning,LSA16,LSA16_E_id11,11,3600.0,4500.0,48.0,47.0,188.0,21.4,7.73,1.43,2700.0,3600.0,4,45-60,east,left,K4
weekday_morning,LSA16,LSA16_N_id6,6,3600.0,4500.0,20.0,20.0,80.0,8.6,9.96,1.19,2700.0,3600.0,4,45-60,north,right,K3
weekday_morning,LSA16,LSA16_N_id7,7,3600.0,4500.0,21.0,21.0,84.0,0.86,13.12,12.84,2700.0,3600.0,4,45-60,north,straight,K3
weekday_morning,LSA16,LSA16_S_id1,1,3600.0,4500.0,49.0,48.0,192.0,22.24,7.82,1.14,2700.0,3600.0,4,45-60,south,right,K1
weekday_morning,LSA16,LSA16_S_id2,2,3600.0,4500.0,30.0,30.0,120.0,1.71,12.8,10.1,2700.0,3600.0,4,45-60,south,straight,K1
weekday_morning,LSA16,LSA16_S_id33,33,3600.0,4500.0,17.0,17.0,68.0,0.87,12.06,11.6,2700.0,3600.0,4,45-60,south,straight,K1
weekday_morning,LSA16,LSA16_W_id3,3,3600.0,4500.0,59.0,58.0,232.0,53.16,7.58,0.58,2700.0,3600.0,4,45-60,west,straight,K2
weekday_morning,LSA16,LSA16_W_id4,4,3600.0,4500.0,15.0,15.0,60.0,27.79,4.17,0.28,2700.0,3600.0,4,45-60,west,left,K2
weekday_morning,LSA1,LSA1_E_id13,13,3600.0,4500.0,71.0,71.0,284.0,41.21,9.18,0.9,2700.0,3600.0,4,45-60,east,straight_right,K4
weekday_morning,LSA1,LSA1_E_id23,23,3600.0,4500.0,38.0,38.0,152.0,34.39,6.09,0.54,2700.0,3600.0,4,45-60,east,straight,K4
weekday_morning,LSA1,LSA1_E_id26,26,3600.0,4500.0,39.0,39.0,156.0,60.42,4.1,0.37,2700.0,3600.0,4,45-60,east,left,K5
weekday_morning,LSA1,LSA1_E_id27,27,3600.0,4500.0,72.0,72.0,288.0,9.93,9.57,3.8,2700.0,3600.0,4,45-60,east,right,K6
weekday_morning,LSA1,LSA1_N_id28,28,3600.0,4500.0,20.0,20.0,80.0,33.32,5.63,0.34,2700.0,3600.0,4,45-60,north,straight,K7
weekday_morning,LSA1,LSA1_N_id30,30,3600.0,4500.0,67.0,67.0,268.0,54.09,7.91,0.67,2700.0,3600.0,4,45-60,north,left,K7
weekday_morning,LSA1,LSA1_N_id40,40,3600.0,4500.0,29.0,29.0,116.0,26.06,7.83,0.62,2700.0,3600.0,4,45-60,north,right,K8
weekday_morning,LSA1,LSA1_S_id11,11,3600.0,4500.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2700.0,3600.0,4,45-60,south,straight_faulty,K3
weekday_morning,LSA1,LSA1_W_id7,7,3600.0,4500.0,42.0,43.0,172.0,65.51,5.87,0.34,2700.0,3600.0,4,45-60,west,left,K1
weekday_morning,LSA1,LSA1_W_id9,9,3600.0,4500.0,77.0,77.0,308.0,40.3,8.16,1.14,2700.0,3600.0,4,45-60,west,straight_right,K2
weekday_morning,LSA9,LSA9_E_id8,8,3600.0,4500.0,80.0,77.0,308.0,15.18,8.26,3.38,2700.0,3600.0,4,45-60,east,straight_right,K3
weekday_morning,LSA9,LSA9_E_id9,9,3600.0,4500.0,50.0,50.0,200.0,15.5,8.62,1.83,2700.0,3600.0,4,45-60,east,straight,K3
