lsa,date_str,day_status,coverage_ratio,max_continuous_bins_with_data,max_continuous_hours_with_data,model_usability
LD-LSA9,2026-03-31,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA9,2026-04-01,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA9,2026-04-02,partial_day,0.9895833333333334,61.0,15.25,usable_partial
LD-LSA9,2026-04-03,full_day,1.0,96.0,24.0,usable
LD-LSA9,2026-04-04,full_day,1.0,96.0,24.0,usable
LD-LSA9,2026-04-05,full_day,1.0,96.0,24.0,usable
LD-LSA9,2026-04-06,full_day,1.0,96.0,24.0,usable
LD-LSA9,2026-04-07,full_day,1.0,96.0,24.0,usable
LD-LSA9,2026-04-08,full_day,1.0,96.0,24.0,usable
LD-LSA9,2026-04-09,full_day,1.0,96.0,24.0,usable
LD-LSA9,2026-04-10,full_day,1.0,96.0,24.0,usable
LD-LSA9,2026-04-11,full_day,1.0,96.0,24.0,usable
LD-LSA9,2026-04-12,full_day,1.0,96.0,24.0,usable
LD-LSA9,2026-04-13,full_day,1.0,96.0,24.0,usable
LD-LSA9,2026-04-14,full_day,1.0,96.0,24.0,usable
LD-LSA9,2026-04-15,full_day,1.0,96.0,24.0,usable
LD-LSA9,2026-04-16,partial_day,0.375,36.0,9.0,usable_partial
