lsa,detector_id,n_records,n_unique_timestamps,first_timestamp,last_timestamp,mean_count,median_count,max_count,zero_count_share,mean_occupancy,median_occupancy,max_occupancy,zero_occupancy_share
LD-LSA10,29.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,3.782441016333938,3.0,44.0,0.2679219600725953,5.245009074410163,1.0,100.0,0.4614337568058076
LD-LSA10,30.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,8.493194192377496,7.0,41.0,0.1601633393829401,21.411070780399275,19.0,100.0,0.3198729582577132
LD-LSA10,31.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,8.666742286751361,8.0,36.0,0.1308983666061706,22.47209618874773,20.0,100.0,0.31238656987295826
LD-LSA10,32.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
LD-LSA10,33.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
LD-LSA10,34.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
LD-LSA10,35.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
LD-LSA10,36.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
LD-LSA10,37.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
LD-LSA10,38.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
LD-LSA10,39.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
LD-LSA10,40.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
LD-LSA10,41.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,0.0,0.0,0.0,1.0,99.99637023593466,100.0,100.0,0.0
LD-LSA16,1.0,3974,3974,2026-03-05 15:30:00+01:00,2026-04-16 08:45:00+02:00,25.285354806240562,26.0,84.0,0.03548062405636638,14.42274786109713,11.0,84.0,0.25163563160543534
LD-LSA16,2.0,3974,3974,2026-03-05 15:30:00+01:00,2026-04-16 08:45:00+02:00,14.549823855057877,14.0,111.0,0.03321590337191746,8.402868646200302,4.0,48.0,0.2569199798691495
LD-LSA16,3.0,3974,3974,2026-03-05 15:30:00+01:00,2026-04-16 08:45:00+02:00,35.43004529441369,33.0,107.0,0.043784599899345744,39.46602918973326,44.0,95.0,0.05611474584801208
