block_id,start_time,end_time,date,K1,K2,K3,K4,pattern,stage,program,n_seconds,duration_s
118,2026-03-10 08:12:34+01:00,2026-03-10 08:12:39+01:00,2026-03-10,2,2,2,2,2-2-2-2,4,3,6,6
119,2026-03-10 08:12:40+01:00,2026-03-10 08:12:40+01:00,2026-03-10,5,2,5,2,5-2-5-2,4,3,1,1
120,2026-03-10 08:12:41+01:00,2026-03-10 08:13:07+01:00,2026-03-10,4,2,4,2,4-2-4-2,4,3,27,27
121,2026-03-10 08:13:08+01:00,2026-03-10 08:13:10+01:00,2026-03-10,4,2,3,2,4-2-3-2,1,3,3,3
122,2026-03-10 08:13:11+01:00,2026-03-10 08:13:27+01:00,2026-03-10,4,2,2,2,4-2-2-2,1,3,17,17
123,2026-03-10 08:13:28+01:00,2026-03-10 08:13:30+01:00,2026-03-10,3,2,2,2,3-2-2-2,2,3,3,3
124,2026-03-10 08:13:31+01:00,2026-03-10 08:13:33+01:00,2026-03-10,2,2,2,2,2-2-2-2,2,3,3,3
125,2026-03-10 08:13:34+01:00,2026-03-10 08:13:34+01:00,2026-03-10,2,5,2,2,2-5-2-2,2,3,1,1
126,2026-03-10 08:13:35+01:00,2026-03-10 08:13:48+01:00,2026-03-10,2,4,2,2,2-4-2-2,2,3,14,14
127,2026-03-10 08:13:49+01:00,2026-03-10 08:13:51+01:00,2026-03-10,2,3,2,2,2-3-2-2,3,3,3,3
128,2026-03-10 08:13:52+01:00,2026-03-10 08:13:53+01:00,2026-03-10,2,2,2,2,2-2-2-2,3,3,2,2
129,2026-03-10 08:13:54+01:00,2026-03-10 08:13:54+01:00,2026-03-10,2,2,5,2,2-2-5-2,3,3,1,1
130,2026-03-10 08:13:55+01:00,2026-03-10 08:13:58+01:00,2026-03-10,2,2,4,2,2-2-4-2,3,3,4,4
131,2026-03-10 08:13:59+01:00,2026-03-10 08:13:59+01:00,2026-03-10,5,2,4,2,5-2-4-2,3,3,1,1
132,2026-03-10 08:14:00+01:00,2026-03-10 08:14:43+01:00,2026-03-10,4,2,4,2,4-2-4-2,3,3,44,44
133,2026-03-10 08:14:44+01:00,2026-03-10 08:14:46+01:00,2026-03-10,3,2,3,2,3-2-3-2,1,3,3,3
134,2026-03-10 08:14:47+01:00,2026-03-10 08:14:51+01:00,2026-03-10,2,2,2,2,2-2-2-2,1,3,5,5
135,2026-03-10 08:14:52+01:00,2026-03-10 08:14:52+01:00,2026-03-10,2,5,2,2,2-5-2-2,1,3,1,1
136,2026-03-10 08:14:53+01:00,2026-03-10 08:15:18+01:00,2026-03-10,2,4,2,2,2-4-2-2,1,3,26,26
137,2026-03-10 08:15:19+01:00,2026-03-10 08:15:21+01:00,2026-03-10,2,3,2,2,2-3-2-2,3,3,3,3
138,2026-03-10 08:15:22+01:00,2026-03-10 08:15:23+01:00,2026-03-10,2,2,2,2,2-2-2-2,3,3,2,2
139,2026-03-10 08:15:24+01:00,2026-03-10 08:15:24+01:00,2026-03-10,2,2,5,2,2-2-5-2,3,3,1,1
140,2026-03-10 08:15:25+01:00,2026-03-10 08:15:28+01:00,2026-03-10,2,2,4,2,2-2-4-2,3,3,4,4
141,2026-03-10 08:15:29+01:00,2026-03-10 08:15:29+01:00,2026-03-10,5,2,4,2,5-2-4-2,3,3,1,1
142,2026-03-10 08:15:30+01:00,2026-03-10 08:16:04+01:00,2026-03-10,4,2,4,2,4-2-4-2,3,3,35,35
143,2026-03-10 08:16:05+01:00,2026-03-10 08:16:07+01:00,2026-03-10,4,2,3,2,4-2-3-2,1,3,3,3
144,2026-03-10 08:16:08+01:00,2026-03-10 08:16:27+01:00,2026-03-10,4,2,2,2,4-2-2-2,1,3,20,20
145,2026-03-10 08:16:28+01:00,2026-03-10 08:16:30+01:00,2026-03-10,3,2,2,2,3-2-2-2,2,3,3,3
146,2026-03-10 08:16:31+01:00,2026-03-10 08:16:33+01:00,2026-03-10,2,2,2,2,2-2-2-2,2,3,3,3
147,2026-03-10 08:16:34+01:00,2026-03-10 08:16:34+01:00,2026-03-10,2,5,2,2,2-5-2-2,2,3,1,1
148,2026-03-10 08:16:35+01:00,2026-03-10 08:16:41+01:00,2026-03-10,2,4,2,2,2-4-2-2,2,3,7,7
149,2026-03-10 08:16:42+01:00,2026-03-10 08:16:44+01:00,2026-03-10,2,3,2,2,2-3-2-2,3,3,3,3
